Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,Date,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis
2016-03-03,8.66,9.2,8.46,9.11,66639741.0,0.0,1.0,8.66,9.2,8.46,9.11,66639741.0,0.7399999999999984,0.22999999999999865,0.5099999999999998,0.7399999999999984,0.7301500000000002,0.7192425000000002,1.0,1.0,0.0,1.0,4.0,1.0,2016-03-03,8.97,9.11,8.97,9.11,8.2618075,1.0,0.7081925000000002,1.0,141.20454537431556,2.2038613547830628,1.4120454537431557,141.99636127535547,0.015607580824972047,0.00014118460946572212,0.0,1.0
2016-03-04,9.32,10.495,9.17,9.74,104835525.0,0.0,1.0,9.32,10.495,9.17,9.74,104835525.0,1.3249999999999993,1.3849999999999998,0.0600000000000005,1.3849999999999998,0.7404000000000002,0.7628925000000002,1.0,1.0,0.0,1.0,4.0,1.0,2016-03-04,9.11,9.74,9.11,9.74,8.3907575,1.0,0.7192425000000002,1.0,141.99636127535547,9.819726410919202,0.0,151.81608768627467,0.06915477497255762,0.00014197620117140143,0.0,1.0
2016-03-07,9.77,10.2,9.51,9.86,63493576.0,0.0,1.0,9.77,10.2,9.51,9.86,63493576.0,0.6899999999999995,0.4599999999999991,0.23000000000000043,0.6899999999999995,0.7484000000000002,0.7378800000000001,1.0,1.0,0.0,1.0,4.0,3.0,2016-03-07,9.74,9.86,9.678192500000002,9.86,8.9771075,1.0,0.7628925000000002,1.0,434.2251784349058,8.157039047146759,1.4120454537431557,440.97017202830943,0.01878527421313403,0.0004340367087675939,0.0,1.0
2016-03-08,9.37,9.42,8.56,8.66,58328932.0,0.0,1.0,9.37,9.42,8.56,8.66,58328932.0,0.8599999999999994,0.4399999999999995,1.299999999999999,1.299999999999999,0.7754000000000001,0.7759800000000001,0.0,0.0,0.0,0.0,4.0,3.0,2016-03-08,9.86,8.66,9.86,9.122119999999999,9.122119999999999,1.0,0.7378800000000001,1.0,440.97017202830943,-33.0003114134127,1.4120454537431557,406.5578151611536,-0.07483569979716032,0.00044077580304661404,0.0,1.0
2016-03-09,8.91,9.23,8.47,9.15,49063049.0,0.0,1.0,8.91,9.23,8.47,9.15,49063049.0,0.7599999999999998,0.5700000000000003,0.1899999999999995,0.7599999999999998,0.7917500000000001,0.77463,0.0,0.0,0.0,0.0,,,2016-03-09,,,,,,,,,,,,,,,,
2016-03-10,8.86,9.65,8.75,9.6,55701131.0,0.0,1.0,8.86,9.65,8.75,9.6,55701131.0,0.9000000000000004,0.5,0.40000000000000036,0.9000000000000004,0.8192499999999999,0.7971625,0.0,0.0,0.0,0.0,,,2016-03-10,,,,,,,,,,,,,,,,
2016-03-11,9.85,9.88,9.41,9.55,40901729.0,0.0,1.0,9.85,9.88,9.41,9.55,40901729.0,0.47000000000000064,0.28000000000000114,0.1899999999999995,0.47000000000000064,0.8212499999999998,0.8017875,0.0,0.0,0.0,0.0,,,2016-03-11,,,,,,,,,,,,,,,,
2016-03-14,9.47,10.14,9.3733,9.97,39704629.0,0.0,1.0,9.47,10.14,9.3733,9.97,39704629.0,0.7667000000000002,0.5899999999999999,0.1767000000000003,0.7667000000000002,0.8168349999999999,0.8185224999999999,1.0,1.0,0.0,1.0,,,2016-03-14,,,,,,,,,,,,,,,,
2016-03-15,9.45,9.49,9.03,9.27,36348603.0,0.0,1.0,9.45,9.49,9.03,9.27,36348603.0,0.46000000000000085,0.4800000000000004,0.9400000000000013,0.9400000000000013,0.821585,0.82299325,0.0,0.0,0.0,0.0,8.0,1.0,2016-03-15,9.97,9.27,9.97,9.27,9.1514775,1.0,0.8185224999999999,1.0,122.17135142894668,-8.577727783376416,1.2217135142894668,112.3719101312808,-0.07021063189568721,0.00012215642741312388,1.0,1.0
2016-03-16,9.25,10.28,9.22,10.22,49163695.0,0.0,1.0,9.25,10.28,9.22,10.22,49163695.0,1.0599999999999987,1.0099999999999998,0.049999999999998934,1.0599999999999987,0.8130849999999998,0.8335057499999999,1.0,1.0,0.0,1.0,8.0,1.0,2016-03-16,9.27,10.22,9.27,10.22,8.44700675,1.0,0.82299325,1.0,112.3719101312808,11.515999420142053,0.0,123.88790955142285,0.1024811218985977,0.00011235928410390506,1.0,1.0
