Date,Open,High,Low,Close,Volume,Adj Close,Year,Series,Ticker,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis,S1orS2
2012-12-10,37.0,37.0,34.91,35.0,6992,35.0,2012,-0.05405405405405406,ABBV,2.0900000000000034,0.0,0.0,2.0900000000000034,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-11,35.05,35.69,34.95,35.32,14529,35.32,2012,0.00914285714285712,ABBV,0.7399999999999949,0.6899999999999977,0.04999999999999716,0.7399999999999949,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-12,35.25,35.25,33.09,33.36,24139,33.36,2012,-0.05549263873159682,ABBV,2.1599999999999966,0.07000000000000028,2.229999999999997,2.229999999999997,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-13,33.5,34.24,32.61,33.8,42467,33.8,2012,0.01318944844124692,ABBV,1.6300000000000026,0.8800000000000026,0.75,1.6300000000000026,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-14,33.9,34.08,32.65,33.0,44572,33.0,2012,-0.023668639053254337,ABBV,1.4299999999999997,0.28000000000000114,1.1499999999999986,1.4299999999999997,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-17,33.5,37.07,32.51,33.4,55029,33.4,2012,0.012121212121211977,ABBV,4.560000000000002,4.07,0.490000000000002,4.560000000000002,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-18,33.4,34.68,32.95,34.43,33305,34.43,2012,0.030838323353293395,ABBV,1.7299999999999969,1.2800000000000011,0.44999999999999574,1.7299999999999969,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-19,34.8,34.82,33.73,34.25,14778,34.25,2012,-0.005227998838222447,ABBV,1.0900000000000034,0.39000000000000057,0.7000000000000028,1.0900000000000034,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-20,34.5,34.5,33.85,34.32,9908,34.32,2012,0.0020437956204379937,ABBV,0.6499999999999986,0.25,0.3999999999999986,0.6499999999999986,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-21,34.29,35.35,34.2,35.35,13734,35.35,2012,0.030011655011655147,ABBV,1.1499999999999986,1.0300000000000011,0.11999999999999744,1.1499999999999986,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-24,35.6,35.6,34.6,35.25,2854,35.25,2012,-0.0028288543140028155,ABBV,1.0,0.25,0.75,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-26,35.27,35.51,34.85,34.92,5576,34.92,2012,-0.009361702127659521,ABBV,0.6599999999999966,0.259999999999998,0.3999999999999986,0.6599999999999966,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-27,35.37,35.37,33.2,34.97,9122,34.97,2012,0.001431844215349365,ABBV,2.1699999999999946,0.44999999999999574,1.7199999999999989,2.1699999999999946,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-28,34.67,34.96,34.36,34.52,10651,34.52,2012,-0.012868172719473714,ABBV,0.6000000000000014,0.00999999999999801,0.6099999999999994,0.6099999999999994,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2012-12-31,34.04,35.05,34.0,34.16,16541,34.16,2012,-0.010428736964078977,ABBV,1.0499999999999972,0.529999999999994,0.5200000000000031,1.0499999999999972,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-02,34.92,35.4,34.1,35.12,124037,35.12,2013,0.02810304449648715,ABBV,1.2999999999999972,1.240000000000002,0.05999999999999517,1.2999999999999972,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-03,35.0,35.0,34.16,34.83,153953,34.83,2013,-0.008257403189065982,ABBV,0.8400000000000034,0.11999999999999744,0.9600000000000009,0.9600000000000009,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-04,34.35,34.89,34.25,34.39,203886,34.39,2013,-0.012632787826586167,ABBV,0.6400000000000006,0.060000000000002274,0.5799999999999983,0.6400000000000006,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-07,34.15,35.45,34.15,34.46,164082,34.46,2013,0.00203547542890381,ABBV,1.3000000000000043,1.0600000000000023,0.240000000000002,1.3000000000000043,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-08,34.29,34.64,33.36,33.71,166892,33.71,2013,-0.021764364480557186,ABBV,1.2800000000000011,0.17999999999999972,1.1000000000000014,1.2800000000000011,1.4134999999999995,,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-09,33.61,33.95,33.61,33.9,181348,33.9,2013,0.005636309700385533,ABBV,0.3400000000000034,0.240000000000002,0.10000000000000142,0.3400000000000034,1.3259999999999994,1.3598249999999996,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-10,33.35,34.0,33.33,34.0,147391,34.0,2013,0.002949852507374784,ABBV,0.6700000000000017,0.10000000000000142,0.5700000000000003,0.6700000000000017,1.3224999999999998,1.2931999999999995,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-11,33.59,33.9,33.35,33.85,103889,33.85,2013,-0.004411764705882337,ABBV,0.5499999999999972,0.10000000000000142,0.6499999999999986,0.6499999999999986,1.2434999999999998,1.2888749999999998,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-14,34.01,34.25,33.8,34.09,107978,34.09,2013,0.007090103397341174,ABBV,0.45000000000000284,0.3999999999999986,0.05000000000000426,0.45000000000000284,1.1844999999999999,1.203825,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-15,33.71,34.72,33.71,34.6,125902,34.6,2013,0.01496039894397172,ABBV,1.009999999999998,0.6299999999999955,0.38000000000000256,1.009999999999998,1.1634999999999998,1.1757749999999998,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2013-01-16,34.47,35.54,34.45,35.54,155399,35.54,2013,0.027167630057803427,ABBV,1.0899999999999963,0.9399999999999977,0.14999999999999858,1.0899999999999963,0.9899999999999995,1.1598249999999997,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2013-01-17,35.75,36.7,35.75,36.42,125546,36.42,2013,0.024760832864378246,ABBV,0.9500000000000028,1.1600000000000037,0.21000000000000085,1.1600000000000037,0.9614999999999998,0.9984999999999997,1.0,1.0,0.0,1.0,0.0,1.0,35.54,36.42,35.54,36.42,34.380175,1.0,1.1598249999999997,1.0,0.8621990386480722,0.021348766291792515,0.008621990386480722,0.874925814553384,0.024760832864378246,8.621247063387723e-05,1.0,0.0,1.0
2013-01-18,36.43,37.32,36.04,37.32,106877,37.32,2013,0.02471169686985175,ABBV,1.2800000000000011,0.8999999999999986,0.38000000000000256,1.2800000000000011,0.9709999999999998,0.9774249999999999,1.0,1.0,0.0,1.0,0.0,2.0,36.42,37.32,36.1199125,37.32,35.4215,1.0,0.9984999999999997,1.0,1.7371248532014563,0.057716137110420805,0.008621990386480722,1.7862189999253963,0.03322509432989351,0.00017368231453363184,1.0,0.0,1.0
2013-01-22,37.1,37.25,35.93,36.42,138835,36.42,2013,-0.024115755627009627,ABBV,1.3200000000000003,0.07000000000000028,1.3900000000000006,1.3900000000000006,1.0079999999999998,0.9919499999999998,0.0,0.0,0.0,0.0,0.0,4.0,37.32,36.42,37.279737499999996,36.42,36.342575000000004,1.0,0.9774249999999999,1.0,3.510617077221541,-0.08096111592598344,0.008621990386480722,3.421033970909077,-0.02306179060407798,0.00035093850665070383,1.0,0.0,1.0
