Date,Open,High,Low,Close,Adj Close,Volume,Year,Series,Ticker,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis,S1orS2
2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,457.3340148925781,21056800,2014,-0.0183100615822729,BTC-USD,15.752014160156307,0.0,0.0,15.752014160156307,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,424.4400024414063,34483200,2014,-0.0719255760123118,BTC-USD,43.7559814453125,0.474029541015625,44.230010986328125,44.230010986328125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,2014,-0.0698426450868382,BTC-USD,43.302978515625,3.394989013671818,39.90798950195318,43.302978515625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,408.9039916992188,36863600,2014,0.0357349164294533,BTC-USD,33.41299438476557,28.5,4.912994384765568,33.41299438476557,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,2014,-0.0246585445473926,BTC-USD,19.2449951171875,3.522003173828068,15.722991943359432,19.2449951171875,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,2014,0.0083521016497065,BTC-USD,9.785980224609375,8.094970703125,1.691009521484375,9.785980224609375,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,2014,0.0836474178342121,BTC-USD,45.360015869140625,39.404998779296875,5.95501708984375,45.360015869140625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,423.2049865722656,30627700,2014,-0.0288808143473959,BTC-USD,14.980010986328182,0.32101440429693184,14.65899658203125,14.980010986328182,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,2014,-0.0274830916797962,BTC-USD,14.052001953125,0.31500244140625,13.73699951171875,14.052001953125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,404.4249877929688,21460800,2014,-0.0173699437887949,BTC-USD,14.928985595703125,3.363983154296875,11.56500244140625,14.928985595703125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,2014,-0.0121283276932626,BTC-USD,9.2509765625,2.197998046874943,7.052978515625057,9.2509765625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
