Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
WFC,1.56,0.86,0.70,0.27,0.01,0.05,1.09,0.59,0.50,0.25,0.01,0.00,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MOH,1.67,1.19,0.48,0.27,0.02,0.06,-1.45,-0.68,-0.77,0.11,0.01,-0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TYL,1.82,1.14,0.69,0.27,0.02,0.06,-0.07,-0.19,0.13,0.15,0.01,0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ROST,1.71,0.88,0.82,0.27,0.02,0.06,0.12,-0.30,0.43,0.17,0.01,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AJG,1.09,0.59,0.51,0.27,0.01,0.04,-0.78,-0.15,-0.63,0.10,0.00,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IRM,1.64,0.76,0.88,0.27,0.01,0.05,0.27,0.51,-0.24,0.19,0.01,-0.01,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VRSK,1.26,0.56,0.70,0.27,0.01,0.05,-0.32,-0.37,0.05,0.12,0.01,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TDG,1.51,0.95,0.56,0.27,0.01,0.05,-1.01,-0.61,-0.41,0.12,0.00,-0.02,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PSX,1.87,0.76,1.11,0.27,0.02,0.06,0.71,0.20,0.51,0.21,0.01,-0.01,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TFX,1.44,0.62,0.82,0.27,0.02,0.06,0.23,-0.88,1.12,0.18,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SLB,1.91,1.60,0.31,0.27,0.02,0.08,1.66,2.29,-0.62,0.26,0.02,-0.01,138.00,2013-11-18 00:00:00,2023-11-15 00:00:00
NRG,2.03,0.96,1.06,0.27,0.02,0.07,0.72,0.28,0.45,0.20,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
STLD,2.44,1.39,1.05,0.27,0.02,0.08,-0.10,0.54,-0.64,0.13,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FDS,1.13,0.59,0.54,0.27,0.01,0.05,-0.60,-0.38,-0.23,0.13,0.00,-0.01,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
UAL,2.68,1.14,1.53,0.27,0.03,0.11,1.40,-0.09,1.49,0.21,0.02,0.00,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KMX,1.98,0.79,1.19,0.27,0.02,0.07,1.03,-0.02,1.06,0.21,0.02,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AIG,1.80,0.66,1.14,0.27,0.02,0.07,1.00,0.58,0.43,0.22,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VTR,1.54,1.00,0.55,0.27,0.02,0.07,1.24,1.09,0.16,0.25,0.02,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EVRG,1.05,0.57,0.48,0.27,0.01,0.04,0.28,-0.12,0.40,0.20,0.01,-0.01,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MPWR,1.95,0.90,1.04,0.27,0.02,0.07,-1.70,-1.03,-0.66,0.08,0.00,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TER,1.66,1.04,0.61,0.26,0.02,0.07,-0.72,-0.61,-0.11,0.14,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PRU,1.65,1.05,0.60,0.26,0.02,0.06,0.99,0.94,0.06,0.22,0.01,-0.01,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TMO,1.21,0.35,0.85,0.26,0.01,0.05,-0.63,-0.93,0.30,0.12,0.01,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PARA,1.47,0.92,0.55,0.26,0.02,0.07,2.08,1.21,0.87,0.29,0.02,-0.02,133.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ADSK,2.04,1.21,0.83,0.26,0.02,0.07,-0.20,-0.53,0.33,0.14,0.01,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MRO,3.03,2.02,1.00,0.26,0.03,0.11,1.97,2.45,-0.48,0.22,0.03,0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BWA,2.05,1.09,0.96,0.26,0.02,0.07,1.78,1.06,0.72,0.24,0.02,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
INCY,2.50,1.76,0.74,0.26,0.02,0.09,1.63,0.60,1.03,0.21,0.02,0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PFG,1.48,0.79,0.69,0.26,0.01,0.06,0.53,0.59,-0.06,0.21,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
YUM,1.30,0.54,0.76,0.26,0.01,0.05,0.11,-0.19,0.30,0.16,0.01,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SHW,1.30,0.73,0.57,0.26,0.01,0.06,-0.51,-0.52,0.01,0.13,0.01,0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NWSA,1.77,0.81,0.96,0.26,0.02,0.06,1.14,0.89,0.26,0.22,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CVX,1.61,0.28,1.33,0.26,0.01,0.05,0.95,0.24,0.71,0.22,0.01,-0.01,157.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MMM,1.28,0.80,0.48,0.26,0.01,0.05,1.27,0.49,0.78,0.26,0.01,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VZ,0.88,0.42,0.46,0.26,0.01,0.03,0.94,0.25,0.69,0.26,0.01,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ADBE,1.43,0.98,0.45,0.26,0.01,0.05,-1.45,-0.99,-0.46,0.08,0.00,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IDXX,1.83,0.80,1.03,0.26,0.02,0.07,-0.80,-1.00,0.19,0.09,0.01,0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IBM,1.22,0.96,0.27,0.26,0.01,0.04,1.02,1.27,-0.25,0.24,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MKTX,1.81,0.84,0.97,0.26,0.02,0.07,0.10,-1.06,1.16,0.15,0.01,0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TROW,1.54,0.83,0.70,0.26,0.01,0.06,0.88,0.37,0.51,0.21,0.01,0.00,157.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NFLX,2.81,1.98,0.84,0.26,0.03,0.12,-0.43,-0.41,-0.02,0.10,0.02,0.03,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AMD,3.20,2.42,0.78,0.26,0.03,0.12,-1.97,-1.22,-0.75,0.08,0.01,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BX,1.69,0.82,0.87,0.25,0.02,0.07,-0.35,-0.07,-0.27,0.14,0.01,-0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DRI,1.64,1.05,0.59,0.25,0.02,0.06,-0.20,0.13,-0.33,0.15,0.01,-0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HCA,1.93,0.53,1.39,0.25,0.02,0.08,-0.30,-0.84,0.55,0.11,0.01,0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GWW,1.66,0.86,0.80,0.25,0.02,0.06,0.14,0.43,-0.29,0.14,0.01,0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IT,1.85,0.68,1.17,0.25,0.02,0.07,-0.46,-0.36,-0.09,0.09,0.01,0.01,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PKG,1.48,0.82,0.66,0.25,0.01,0.06,0.12,0.10,0.02,0.16,0.01,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MGM,2.40,0.76,1.65,0.25,0.02,0.09,0.65,-0.08,0.73,0.18,0.02,0.00,146.00,2013-11-18 00:00:00,2023-11-15 00:00:00
JBHT,1.46,0.95,0.51,0.25,0.01,0.06,0.24,0.39,-0.15,0.15,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GPN,1.54,0.88,0.66,0.25,0.01,0.06,-0.22,-1.02,0.80,0.14,0.01,0.00,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DD,1.95,0.69,1.26,0.25,0.02,0.07,1.25,0.41,0.84,0.20,0.02,0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CSX,1.42,1.27,0.15,0.25,0.01,0.05,-0.22,0.12,-0.34,0.13,0.01,-0.01,154.00,2013-11-18 00:00:00,2023-11-15 00:00:00
FLT,1.62,0.75,0.86,0.25,0.02,0.06,0.46,-0.35,0.80,0.18,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
O,0.95,0.78,0.18,0.25,0.01,0.05,0.22,0.16,0.06,0.19,0.01,-0.01,132.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DVN,2.38,1.51,0.86,0.25,0.02,0.09,1.31,2.03,-0.72,0.21,0.02,-0.01,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ELV,1.69,1.44,0.24,0.25,0.02,0.06,-0.37,0.10,-0.47,0.11,0.01,0.01,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
META,1.78,0.68,1.10,0.25,0.02,0.07,-0.86,-1.04,0.18,0.12,0.01,0.00,152.00,2013-11-18 00:00:00,2023-11-15 00:00:00
HSIC,1.37,0.56,0.81,0.25,0.01,0.05,0.62,0.02,0.59,0.19,0.01,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ZION,2.02,1.23,0.79,0.25,0.02,0.08,1.08,0.57,0.51,0.20,0.02,0.00,146.00,2013-11-18 00:00:00,2023-11-15 00:00:00
KMI,1.18,0.60,0.58,0.25,0.01,0.05,1.32,1.01,0.30,0.25,0.01,-0.02,150.00,2013-11-18 00:00:00,2023-11-15 00:00:00
WBA,1.49,0.66,0.83,0.25,0.02,0.07,2.07,0.64,1.43,0.29,0.02,0.00,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ANET,2.27,1.90,0.38,0.25,0.02,0.09,-1.38,0.04,-1.42,0.08,0.01,0.01,143.00,2014-06-06 00:00:00,2023-11-16 00:00:00
ALL,1.06,0.76,0.30,0.25,0.01,0.05,-0.15,0.03,-0.17,0.14,0.01,-0.01,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WM,0.86,0.36,0.50,0.25,0.01,0.04,-0.67,-0.59,-0.08,0.09,0.00,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DVA,1.88,1.16,0.72,0.25,0.02,0.07,0.92,0.73,0.19,0.19,0.01,0.01,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CNP,1.09,0.58,0.51,0.25,0.01,0.04,0.57,0.44,0.14,0.21,0.01,-0.02,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NEE,1.23,0.38,0.85,0.25,0.01,0.05,-0.01,-0.65,0.64,0.14,0.01,0.00,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PCAR,1.37,0.74,0.64,0.24,0.01,0.05,0.13,0.30,-0.17,0.15,0.01,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CTAS,1.05,0.48,0.57,0.24,0.01,0.05,-1.61,-1.20,-0.41,0.04,0.00,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DFS,1.59,0.68,0.91,0.24,0.02,0.07,0.39,0.12,0.27,0.18,0.01,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AVGO,1.97,1.20,0.77,0.24,0.02,0.07,-1.74,-1.00,-0.75,0.04,0.00,0.00,161.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GD,1.07,0.45,0.62,0.24,0.01,0.04,-0.22,-0.26,0.05,0.13,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MAS,1.62,0.87,0.75,0.24,0.02,0.06,0.05,-0.22,0.26,0.13,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CRM,1.91,0.58,1.33,0.24,0.02,0.08,-0.03,-0.72,0.70,0.13,0.01,0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KDP,1.18,0.71,0.47,0.24,0.01,0.05,0.17,0.00,0.17,0.19,0.01,-0.02,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MAA,1.09,0.74,0.36,0.24,0.01,0.05,0.09,-0.04,0.12,0.16,0.01,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CAH,1.41,0.52,0.89,0.24,0.01,0.06,0.50,0.64,-0.15,0.18,0.01,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ILMN,1.86,1.26,0.60,0.24,0.02,0.08,0.93,-0.46,1.39,0.20,0.02,-0.01,146.00,2013-11-18 00:00:00,2023-11-15 00:00:00
WMB,1.57,1.45,0.12,0.24,0.02,0.08,0.57,1.37,-0.80,0.19,0.01,-0.01,135.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LEN,1.83,1.04,0.79,0.24,0.02,0.08,-0.13,0.38,-0.50,0.12,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IQV,1.44,0.44,1.00,0.24,0.01,0.06,-0.50,-0.98,0.48,0.11,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ACN,1.20,0.43,0.77,0.24,0.01,0.05,-0.54,-0.62,0.09,0.09,0.00,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ACGL,1.26,0.54,0.72,0.24,0.01,0.05,-0.53,-0.33,-0.21,0.10,0.01,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IVZ,1.98,1.18,0.80,0.24,0.02,0.07,2.11,1.70,0.41,0.24,0.02,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
INTU,1.50,0.66,0.85,0.24,0.01,0.06,-0.99,-0.75,-0.24,0.08,0.00,0.00,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TAP,1.21,0.45,0.76,0.24,0.01,0.05,0.70,0.33,0.37,0.20,0.01,-0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ODFL,1.65,1.18,0.48,0.24,0.02,0.07,-1.27,-0.33,-0.94,0.03,0.00,0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WY,1.42,1.09,0.33,0.24,0.01,0.06,0.80,1.02,-0.23,0.20,0.01,-0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
UNP,1.10,0.59,0.52,0.24,0.01,0.05,-0.25,-0.33,0.08,0.13,0.01,-0.01,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AON,1.01,0.31,0.70,0.24,0.01,0.04,-0.66,-0.69,0.03,0.09,0.00,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BEN,1.36,0.63,0.73,0.24,0.01,0.06,1.59,1.29,0.30,0.25,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PCG,2.98,2.42,0.56,0.24,0.03,0.12,2.06,2.40,-0.34,0.21,0.03,0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
STZ,1.56,0.74,0.82,0.24,0.02,0.07,0.00,-0.37,0.37,0.11,0.01,0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AVY,1.50,1.02,0.48,0.24,0.01,0.06,-0.23,-0.06,-0.17,0.12,0.01,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
JCI,1.29,0.40,0.89,0.24,0.01,0.05,0.62,0.25,0.37,0.19,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TTWO,1.66,0.99,0.67,0.24,0.01,0.06,-1.11,-1.28,0.17,0.08,0.00,-0.01,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TDY,1.18,0.70,0.48,0.24,0.01,0.05,-0.66,-0.79,0.14,0.10,0.01,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IFF,1.39,0.80,0.60,0.23,0.01,0.06,1.14,0.35,0.79,0.22,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MLM,1.76,1.29,0.47,0.23,0.02,0.08,-0.25,0.08,-0.33,0.11,0.01,0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PLD,1.25,0.58,0.67,0.23,0.01,0.05,-0.15,-0.30,0.15,0.13,0.01,0.00,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VRSN,1.16,0.91,0.25,0.23,0.01,0.05,-0.50,-0.49,-0.02,0.10,0.00,0.00,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MOS,1.84,0.75,1.10,0.23,0.02,0.09,1.18,1.27,-0.09,0.20,0.02,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ZBH,1.40,0.90,0.49,0.23,0.01,0.06,0.79,0.28,0.51,0.19,0.01,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HUM,1.11,0.66,0.45,0.23,0.01,0.05,-1.00,-0.84,-0.16,0.09,0.00,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WELL,1.11,1.11,0.00,0.23,0.01,0.05,0.15,0.74,-0.60,0.17,0.01,-0.02,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EXC,1.22,0.75,0.47,0.23,0.01,0.05,0.18,0.24,-0.06,0.15,0.01,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
XEL,0.93,0.61,0.32,0.23,0.01,0.04,-0.08,-0.20,0.12,0.14,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AWK,1.13,0.46,0.67,0.23,0.01,0.05,-0.25,-0.62,0.36,0.11,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
QCOM,1.77,1.27,0.50,0.23,0.02,0.07,0.53,0.85,-0.32,0.16,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MO,1.06,0.65,0.42,0.23,0.01,0.05,0.60,0.42,0.18,0.19,0.01,0.00,140.00,2013-11-18 00:00:00,2023-11-15 00:00:00
AMP,1.63,0.94,0.69,0.23,0.02,0.07,-0.13,0.34,-0.47,0.13,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PAYX,1.05,0.53,0.52,0.23,0.01,0.05,-0.26,-0.16,-0.10,0.13,0.01,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RHI,1.55,0.72,0.84,0.23,0.02,0.07,0.35,0.08,0.27,0.15,0.01,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SEE,1.60,0.73,0.88,0.23,0.02,0.07,1.08,0.37,0.71,0.19,0.01,0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TT,1.45,0.55,0.90,0.23,0.01,0.06,-0.59,-0.43,-0.16,0.08,0.00,0.00,158.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CINF,1.40,0.65,0.76,0.23,0.01,0.06,0.29,-0.11,0.40,0.15,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SYF,1.73,0.66,1.07,0.23,0.02,0.07,0.81,0.11,0.70,0.17,0.01,0.00,135.00,2014-07-31 00:00:00,2023-11-16 00:00:00
OXY,3.42,0.85,2.57,0.23,0.03,0.13,2.62,1.48,1.13,0.19,0.03,0.03,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MSI,1.03,0.62,0.42,0.23,0.01,0.04,-0.86,-0.37,-0.49,0.08,0.00,-0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HAS,1.99,1.14,0.85,0.23,0.02,0.09,1.59,0.33,1.26,0.20,0.02,0.02,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
OKE,1.65,1.06,0.59,0.23,0.02,0.07,0.32,0.48,-0.16,0.17,0.01,-0.01,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
UPS,0.99,0.50,0.49,0.22,0.01,0.04,0.28,0.33,-0.05,0.17,0.01,-0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
C,1.53,0.74,0.79,0.22,0.01,0.06,1.11,0.24,0.88,0.20,0.01,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WDC,2.11,1.79,0.32,0.22,0.02,0.09,1.62,1.51,0.11,0.20,0.02,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SCHW,1.87,0.87,1.00,0.22,0.02,0.08,0.46,0.01,0.46,0.14,0.01,0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
JPM,1.10,0.76,0.34,0.22,0.01,0.05,-0.29,-0.20,-0.09,0.12,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NTRS,1.29,0.83,0.45,0.22,0.01,0.05,0.56,0.15,0.41,0.17,0.01,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SOL-USD,1.89,0.00,1.89,0.22,0.05,0.21,-5.99,0.00,-5.99,-0.04,-0.01,-0.02,70.00,2020-04-10 00:00:00,2023-11-15 00:00:00
FTNT,1.92,1.77,0.15,0.22,0.02,0.08,-1.37,-0.22,-1.15,0.05,0.00,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AXP,1.13,0.69,0.44,0.22,0.01,0.05,0.02,0.21,-0.19,0.15,0.01,-0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EOG,1.86,0.68,1.18,0.22,0.02,0.08,0.68,0.57,0.11,0.16,0.01,0.00,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BBWI,2.65,0.79,1.86,0.22,0.02,0.11,1.93,1.65,0.28,0.19,0.02,0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NSC,1.15,0.58,0.57,0.22,0.01,0.05,-0.12,-0.35,0.23,0.13,0.01,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ROK,1.86,0.57,1.29,0.22,0.02,0.07,0.54,-0.14,0.68,0.13,0.01,0.02,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PEG,0.82,0.15,0.68,0.22,0.01,0.04,-0.10,-0.43,0.33,0.15,0.00,-0.01,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HBAN,1.59,0.87,0.72,0.22,0.01,0.07,0.78,0.31,0.48,0.17,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
QRVO,2.03,1.81,0.22,0.22,0.02,0.10,0.91,0.86,0.05,0.16,0.02,0.01,135.00,2015-01-02 00:00:00,2023-11-16 00:00:00
SPG,1.53,0.71,0.83,0.22,0.02,0.07,0.96,0.70,0.26,0.19,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CTLT,1.66,1.11,0.55,0.22,0.02,0.09,0.16,-0.21,0.37,0.14,0.01,0.00,134.00,2014-07-31 00:00:00,2023-11-16 00:00:00
V,1.07,0.85,0.22,0.22,0.01,0.05,-0.83,-0.56,-0.26,0.07,0.00,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WRK,1.57,1.00,0.57,0.22,0.02,0.08,1.36,1.15,0.21,0.20,0.02,0.00,129.00,2015-06-24 00:00:00,2023-11-16 00:00:00
APH,0.98,0.95,0.03,0.22,0.01,0.05,-0.74,-0.07,-0.68,0.07,0.00,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CHD,1.11,0.48,0.64,0.22,0.01,0.05,-0.14,-0.34,0.20,0.09,0.01,0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EBAY,1.74,0.80,0.94,0.22,0.02,0.08,0.70,0.16,0.54,0.15,0.01,0.02,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LW,0.84,0.53,0.32,0.22,0.01,0.05,-0.63,-0.49,-0.14,0.08,0.00,-0.01,101.00,2016-11-10 00:00:00,2023-11-16 00:00:00
NCLH,2.09,0.55,1.54,0.21,0.02,0.10,1.21,-0.29,1.50,0.19,0.02,-0.02,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KLAC,1.71,1.10,0.60,0.21,0.02,0.07,-1.21,-0.20,-1.01,0.07,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HOLX,1.38,0.34,1.04,0.21,0.01,0.06,-0.23,-0.72,0.50,0.10,0.01,0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MNST,1.73,1.48,0.25,0.21,0.02,0.08,-0.45,0.01,-0.45,0.06,0.01,0.02,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TRV,1.05,0.83,0.22,0.21,0.01,0.05,0.09,0.37,-0.28,0.14,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ABT,0.97,0.48,0.49,0.21,0.01,0.04,-0.29,-0.42,0.12,0.11,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MTCH,1.94,0.95,1.00,0.21,0.02,0.08,0.25,-1.18,1.44,0.14,0.01,-0.01,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
POOL,1.14,0.33,0.81,0.21,0.01,0.06,-1.14,-1.13,-0.01,0.05,0.00,0.00,133.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RJF,1.31,1.05,0.27,0.21,0.01,0.06,-0.36,0.27,-0.63,0.10,0.01,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HPE,0.98,0.76,0.22,0.21,0.01,0.06,0.01,0.25,-0.24,0.14,0.01,-0.01,121.00,2015-10-19 00:00:00,2023-11-15 00:00:00
CE,1.24,0.96,0.29,0.21,0.01,0.06,-0.08,0.06,-0.14,0.13,0.01,-0.01,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PYPL,1.38,0.18,1.21,0.21,0.02,0.08,0.35,-1.05,1.40,0.14,0.01,0.00,120.00,2015-07-06 00:00:00,2023-11-16 00:00:00
BDX,0.91,0.37,0.53,0.21,0.01,0.04,-0.14,-0.60,0.47,0.11,0.00,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BKNG,1.18,0.79,0.39,0.21,0.01,0.06,-0.35,-0.01,-0.34,0.11,0.01,-0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DUK,0.84,0.21,0.63,0.21,0.01,0.04,0.33,-0.03,0.35,0.16,0.01,-0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WHR,1.35,0.65,0.70,0.21,0.01,0.07,1.00,0.53,0.47,0.19,0.01,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TECH,1.19,0.03,1.15,0.21,0.01,0.06,-0.25,-1.03,0.78,0.10,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
JNJ,0.64,0.34,0.30,0.21,0.01,0.03,-0.02,-0.11,0.09,0.14,0.00,-0.01,141.00,2013-11-18 00:00:00,2023-11-15 00:00:00
NEM,1.55,0.66,0.89,0.21,0.02,0.07,0.59,-0.08,0.67,0.15,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
