Asset,SumT:All,SumT:<=2019,SumT:>=2020,SumT:Longs,SumT:Shorts,SumT-P:All,SumT-P:<=2019,SumT-P:>=2020,SumT-P:Longs,SumT-P:Shorts,SharpeT:All,SharpeT:<=2019,SharpeT:>=2020,SharpeT:Longs,SharpeT:Shorts,SharpeT-P:All,SharpeT-P:<=2019,SharpeT-P:>=2020,SharpeT-P:Longs,SharpeT-P:Shorts,%Win:All,%Win:<=2019,%Win:>=2020,%Win:Longs,%Win:Shorts,Mean:All,Mean:<=2019,Mean:>=2020,Mean:Longs,Mean:Shorts,Std:All,Std:<=2019,Std:>=2020,Std:Longs,Std:Shorts,No:All,No:<=2019,No:>=2020,No:Longs,No:Shorts,Stops,Start,End
ISRG,2.11,0.96,1.15,1.60,0.51,-0.34,-0.77,0.44,1.17,0.36,0.11,0.10,0.13,0.16,0.06,0.06,0.04,0.10,0.12,0.04,0.52,0.51,0.52,0.57,0.42,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,88.00,57.00,31.00,51.00,37.00,0.00,11/18/13,11/16/23
FFIV,2.20,1.22,0.97,1.70,0.49,1.13,0.51,0.62,1.04,0.25,0.12,0.12,0.13,0.19,0.06,0.10,0.09,0.11,0.12,0.03,0.53,0.52,0.54,0.55,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,92.00,55.00,37.00,44.00,48.00,0.00,11/18/13,11/16/23
XOM,1.70,0.85,0.86,1.01,0.69,1.18,1.19,0.00,0.67,0.54,0.12,0.13,0.13,0.13,0.10,0.11,0.14,0.09,0.09,0.08,0.53,0.52,0.54,0.52,0.54,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.01,98.00,56.00,42.00,48.00,50.00,0.00,11/18/13,11/16/23
CZR,2.90,1.27,1.63,2.34,0.56,-1.06,-1.67,0.61,0.91,0.26,0.11,0.09,0.13,0.15,0.05,0.06,0.01,0.11,0.06,0.02,0.52,0.50,0.56,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.03,78.00,46.00,32.00,42.00,36.00,0.00,09/22/14,11/16/23
GPC,1.51,0.61,0.90,1.03,0.48,0.64,0.32,0.32,0.57,0.23,0.11,0.10,0.13,0.17,0.06,0.09,0.08,0.10,0.10,0.03,0.52,0.51,0.54,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,92.00,56.00,36.00,43.00,49.00,0.00,11/18/13,11/16/23
WTW,1.18,0.54,0.64,1.05,0.13,0.18,-0.05,0.23,0.59,-0.30,0.10,0.08,0.13,0.16,0.03,0.08,0.05,0.10,0.10,-0.06,0.52,0.51,0.53,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,85.00,54.00,31.00,40.00,45.00,0.00,11/18/13,11/16/23
TPR,2.38,0.54,1.84,0.66,1.73,2.04,0.97,1.07,0.93,2.13,0.08,0.04,0.13,0.06,0.10,0.08,0.05,0.10,0.08,0.12,0.51,0.49,0.54,0.51,0.52,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.02,0.03,107.00,67.00,41.00,57.00,50.00,0.00,11/18/13,11/16/23
WAT,1.96,1.03,0.93,1.67,0.29,0.65,0.05,0.59,0.86,-0.01,0.12,0.12,0.13,0.18,0.04,0.09,0.07,0.11,0.10,0.00,0.52,0.52,0.53,0.57,0.45,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,88.00,56.00,33.00,46.00,42.00,0.00,11/18/13,11/15/23
ADM,1.84,0.95,0.90,1.20,0.64,0.89,0.73,0.16,0.79,0.51,0.12,0.13,0.13,0.17,0.09,0.10,0.12,0.09,0.11,0.07,0.53,0.52,0.55,0.56,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,98.00,58.00,40.00,50.00,48.00,0.00,11/18/13,11/16/23
MS,2.35,1.28,1.07,1.53,0.82,0.88,0.66,0.22,0.69,0.78,0.12,0.12,0.13,0.14,0.10,0.09,0.09,0.09,0.06,0.09,0.52,0.52,0.53,0.53,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,98.00,57.00,41.00,52.00,46.00,0.00,11/18/13,11/16/23
HOLX,1.38,0.34,1.04,0.83,0.55,-0.23,-0.72,0.50,1.02,0.29,0.08,0.04,0.12,0.10,0.06,0.04,-0.01,0.10,0.13,0.03,0.52,0.49,0.55,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,101.00,70.00,31.00,53.00,48.00,0.00,11/18/13,11/16/23
AIG,1.80,0.66,1.14,1.01,0.80,1.00,0.58,0.43,0.85,0.93,0.10,0.09,0.12,0.09,0.12,0.09,0.09,0.10,0.08,0.14,0.52,0.52,0.51,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.02,100.00,62.00,38.00,61.00,39.00,0.00,11/18/13,11/16/23
PNR,1.93,0.74,1.19,1.09,0.84,1.21,0.64,0.57,0.92,0.75,0.10,0.08,0.12,0.13,0.08,0.08,0.07,0.10,0.11,0.07,0.51,0.50,0.53,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,109.00,69.00,40.00,58.00,51.00,0.00,11/18/13,11/16/23
NEM,1.55,0.66,0.89,1.60,-0.05,0.59,-0.08,0.67,0.95,-0.94,0.08,0.05,0.12,0.14,-0.01,0.06,0.03,0.11,0.09,-0.09,0.51,0.50,0.54,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,101.00,69.00,33.00,49.00,52.00,0.00,11/18/13,11/16/23
CAH,1.41,0.52,0.89,1.23,0.18,0.50,0.64,-0.15,1.12,-0.41,0.09,0.06,0.12,0.13,0.03,0.07,0.06,0.07,0.12,-0.05,0.50,0.48,0.54,0.53,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,105.00,66.00,39.00,59.00,46.00,0.00,11/18/13,11/16/23
CB,1.60,0.52,1.08,1.00,0.60,0.50,0.04,0.46,0.62,0.56,0.10,0.09,0.12,0.12,0.09,0.07,0.06,0.09,0.07,0.08,0.52,0.52,0.53,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,104.00,70.00,35.00,59.00,45.00,0.00,11/18/13,11/16/23
LDOS,2.05,1.25,0.80,1.22,0.84,0.77,0.28,0.48,1.04,0.92,0.13,0.14,0.12,0.18,0.10,0.10,0.10,0.11,0.16,0.10,0.53,0.52,0.55,0.55,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,90.00,59.00,31.00,47.00,43.00,0.00,11/18/13,11/16/23
BG,2.00,1.27,0.72,1.26,0.74,1.25,1.49,-0.24,0.69,0.48,0.12,0.11,0.12,0.14,0.09,0.10,0.12,0.08,0.08,0.06,0.52,0.51,0.53,0.54,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,97.00,64.00,34.00,43.00,54.00,0.00,11/18/13,11/16/23
IDXX,1.83,0.80,1.03,1.62,0.21,-0.80,-1.00,0.19,1.29,-0.17,0.10,0.09,0.12,0.17,0.03,0.05,0.02,0.08,0.14,-0.02,0.53,0.51,0.56,0.56,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,99.00,62.00,38.00,55.00,44.00,0.00,11/18/13,11/16/23
TRMB,2.65,1.33,1.32,1.18,1.46,1.79,0.82,0.97,1.00,1.76,0.12,0.12,0.12,0.12,0.13,0.10,0.10,0.11,0.10,0.15,0.53,0.52,0.56,0.54,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,94.00,49.00,45.00,51.00,43.00,0.00,11/18/13,11/16/23
LINK-USD,7.59,3.95,3.64,6.29,1.30,-1.60,-0.55,-1.05,2.75,1.00,0.14,0.17,0.12,0.20,0.06,0.08,0.09,0.07,0.08,0.04,0.51,0.52,0.50,0.53,0.49,0.01,0.01,0.01,0.01,0.00,0.07,0.08,0.06,0.07,0.06,81.00,25.00,56.00,48.00,33.00,0.00,11/09/17,11/15/23
DXCM,2.79,1.53,1.26,2.55,0.25,-0.89,-1.06,0.16,1.28,-0.58,0.13,0.14,0.12,0.19,0.03,0.08,0.08,0.08,0.10,-0.05,0.54,0.54,0.54,0.56,0.50,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,84.00,45.00,39.00,48.00,36.00,0.00,11/18/13,11/16/23
IT,1.85,0.68,1.17,1.77,0.08,-0.46,-0.36,-0.09,0.84,-0.65,0.10,0.09,0.12,0.17,0.01,0.05,0.04,0.07,0.08,-0.07,0.52,0.52,0.52,0.56,0.44,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,112.00,69.00,44.00,58.00,54.00,0.00,11/18/13,11/16/23
JKHY,1.25,0.42,0.83,1.18,0.07,0.00,-0.56,0.56,0.90,-0.29,0.10,0.08,0.12,0.17,0.01,0.07,0.02,0.11,0.13,-0.06,0.54,0.51,0.56,0.56,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,92.00,54.00,38.00,54.00,38.00,0.00,11/18/13,11/16/23
YUM,1.30,0.54,0.76,1.04,0.26,0.11,-0.19,0.30,0.87,-0.31,0.10,0.08,0.12,0.16,0.05,0.07,0.05,0.09,0.14,-0.04,0.54,0.54,0.55,0.58,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,96.00,56.00,40.00,49.00,47.00,0.00,11/18/13,11/16/23
TFX,1.44,0.62,0.82,1.22,0.22,0.23,-0.88,1.12,0.90,-0.18,0.10,0.09,0.12,0.14,0.04,0.07,0.01,0.13,0.11,-0.02,0.53,0.54,0.52,0.56,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,95.00,61.00,34.00,55.00,40.00,0.00,11/18/13,11/16/23
DOV,1.64,0.81,0.83,1.20,0.43,0.48,0.08,0.40,0.51,0.22,0.11,0.11,0.12,0.15,0.07,0.08,0.07,0.10,0.07,0.04,0.54,0.53,0.56,0.56,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,89.00,52.00,37.00,49.00,40.00,0.00,11/18/13,11/16/23
GWW,1.66,0.86,0.80,1.28,0.39,0.14,0.43,-0.29,0.95,0.06,0.10,0.08,0.12,0.16,0.04,0.06,0.07,0.06,0.12,0.01,0.51,0.49,0.55,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,102.00,68.00,35.00,50.00,52.00,0.00,11/18/13,11/16/23
HSIC,1.37,0.56,0.81,0.72,0.65,0.62,0.02,0.59,0.63,0.56,0.09,0.07,0.12,0.10,0.08,0.07,0.04,0.11,0.09,0.07,0.51,0.51,0.52,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,112.00,70.00,43.00,59.00,53.00,0.00,11/18/13,11/16/23
BBWI,2.65,0.79,1.86,1.16,1.49,1.93,1.65,0.28,0.98,1.48,0.09,0.06,0.12,0.08,0.09,0.08,0.08,0.08,0.07,0.09,0.49,0.48,0.50,0.48,0.49,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.02,0.03,110.00,67.00,43.00,56.00,54.00,0.00,11/18/13,11/16/23
LH,1.54,0.79,0.75,1.29,0.24,0.35,0.22,0.13,0.90,0.04,0.11,0.10,0.12,0.14,0.05,0.08,0.07,0.09,0.10,0.01,0.52,0.52,0.53,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,93.00,60.00,33.00,54.00,39.00,0.00,11/18/13,11/16/23
ETR,1.51,0.61,0.90,1.05,0.46,0.72,-0.04,0.76,0.56,0.27,0.10,0.09,0.12,0.15,0.06,0.08,0.06,0.11,0.08,0.04,0.52,0.52,0.53,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,103.00,63.00,40.00,54.00,49.00,0.00,11/18/13,11/16/23
APA,2.74,1.13,1.60,1.46,1.28,1.89,1.96,-0.07,0.91,1.54,0.10,0.09,0.12,0.12,0.08,0.09,0.11,0.08,0.08,0.10,0.53,0.51,0.55,0.55,0.52,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.03,0.03,90.00,55.00,35.00,42.00,48.00,0.00,11/18/13,11/15/23
CRM,1.91,0.58,1.33,1.94,-0.03,-0.03,-0.72,0.70,1.21,-0.83,0.08,0.05,0.12,0.13,0.00,0.05,0.01,0.09,0.08,-0.10,0.53,0.53,0.53,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,103.00,65.00,39.00,57.00,46.00,0.00,11/18/13,11/16/23
APTV,2.06,0.64,1.42,1.22,0.84,0.81,-0.26,1.08,1.03,0.43,0.09,0.08,0.12,0.14,0.07,0.07,0.04,0.10,0.12,0.04,0.51,0.51,0.52,0.54,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,103.00,58.00,46.00,47.00,56.00,0.00,11/18/13,11/15/23
MHK,2.49,1.40,1.09,1.07,1.42,2.28,1.22,1.06,0.85,1.94,0.13,0.14,0.12,0.13,0.13,0.12,0.14,0.11,0.11,0.17,0.54,0.55,0.52,0.54,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,87.00,51.00,36.00,47.00,40.00,0.00,11/18/13,11/16/23
WM,0.86,0.36,0.50,0.70,0.16,-0.67,-0.59,-0.08,0.51,-0.15,0.09,0.07,0.11,0.12,0.04,0.04,0.01,0.07,0.09,-0.04,0.53,0.53,0.52,0.56,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,96.00,59.00,38.00,56.00,40.00,0.00,11/18/13,11/16/23
WBA,1.49,0.66,0.83,0.85,0.65,2.07,0.64,1.43,0.89,0.48,0.10,0.08,0.11,0.13,0.07,0.11,0.08,0.14,0.13,0.06,0.52,0.51,0.54,0.51,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,92.00,57.00,35.00,45.00,47.00,0.00,11/18/13,11/16/23
FCX,4.06,2.52,1.54,2.30,1.76,2.64,2.72,-0.08,1.65,2.10,0.12,0.13,0.11,0.14,0.10,0.10,0.13,0.07,0.10,0.12,0.51,0.51,0.51,0.50,0.52,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,104.00,60.00,44.00,54.00,50.00,0.00,11/18/13,11/16/23
AFL,0.82,0.11,0.70,0.48,0.34,-0.41,-0.35,-0.06,0.57,0.18,0.07,0.02,0.11,0.07,0.07,0.04,0.00,0.08,0.08,0.04,0.52,0.51,0.54,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,104.00,63.00,41.00,58.00,46.00,0.00,11/18/13,11/16/23
EL,1.77,0.87,0.90,1.02,0.75,0.82,-0.28,1.10,0.94,0.79,0.10,0.11,0.11,0.12,0.09,0.08,0.05,0.12,0.11,0.10,0.51,0.50,0.52,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,97.00,61.00,37.00,54.00,43.00,0.00,11/18/13,11/16/23
ITW,1.63,0.85,0.78,1.31,0.32,0.24,0.00,0.25,0.69,-0.07,0.11,0.12,0.11,0.17,0.05,0.08,0.08,0.08,0.09,0.00,0.53,0.54,0.53,0.56,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,100.00,58.00,43.00,52.00,48.00,0.00,11/18/13,11/16/23
PEG,0.82,0.15,0.68,0.58,0.24,-0.10,-0.43,0.33,0.56,-0.12,0.07,0.02,0.11,0.08,0.04,0.04,0.00,0.09,0.08,-0.02,0.52,0.51,0.54,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,107.00,69.00,38.00,60.00,47.00,0.00,11/18/13,11/16/23
GD,1.07,0.45,0.62,1.00,0.07,-0.22,-0.26,0.05,0.58,-0.42,0.09,0.07,0.11,0.13,0.01,0.05,0.03,0.08,0.08,-0.08,0.51,0.51,0.52,0.54,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,104.00,68.00,37.00,56.00,48.00,0.00,11/18/13,11/16/23
CHD,1.11,0.48,0.64,0.92,0.19,-0.14,-0.34,0.20,0.52,-0.26,0.08,0.06,0.11,0.13,0.03,0.05,0.02,0.08,0.07,-0.03,0.51,0.50,0.53,0.55,0.47,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,104.00,69.00,36.00,53.00,51.00,0.00,11/18/13,11/16/23
KMI,1.18,0.60,0.58,0.39,0.79,1.32,1.01,0.30,0.50,0.58,0.08,0.07,0.11,0.06,0.11,0.09,0.08,0.10,0.08,0.08,0.51,0.50,0.53,0.50,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,105.00,68.00,38.00,52.00,53.00,0.00,11/18/13,11/15/23
COP,2.07,0.93,1.14,2.05,0.02,0.88,0.89,-0.01,1.05,-0.74,0.10,0.09,0.11,0.16,0.00,0.08,0.09,0.07,0.08,-0.09,0.50,0.49,0.52,0.52,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,103.00,60.00,44.00,53.00,50.00,0.00,11/18/13,11/16/23
WAB,2.29,1.50,0.79,1.61,0.68,1.27,1.16,0.11,0.83,0.39,0.13,0.15,0.11,0.16,0.09,0.11,0.13,0.08,0.09,0.06,0.53,0.54,0.51,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,99.00,55.00,44.00,51.00,48.00,0.00,11/18/13,11/16/23
OXY,3.42,0.85,2.57,1.58,1.84,2.62,1.48,1.13,1.44,2.58,0.09,0.08,0.11,0.09,0.09,0.08,0.11,0.08,0.08,0.12,0.51,0.50,0.53,0.49,0.53,0.00,0.00,0.01,0.00,0.00,0.04,0.01,0.05,0.03,0.04,117.00,72.00,46.00,63.00,54.00,0.00,11/18/13,11/16/23
KMX,1.98,0.79,1.19,1.43,0.55,1.03,-0.02,1.06,1.30,0.24,0.09,0.08,0.11,0.14,0.05,0.08,0.05,0.11,0.13,0.02,0.50,0.50,0.51,0.52,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,102.00,62.00,41.00,51.00,51.00,0.00,11/18/13,11/16/23
FTV,1.24,0.43,0.81,0.62,0.63,0.49,-0.06,0.55,0.60,0.63,0.11,0.10,0.11,0.10,0.11,0.08,0.06,0.10,0.10,0.11,0.50,0.51,0.50,0.49,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,69.00,28.00,42.00,42.00,27.00,0.00,07/05/16,11/16/23
MSCI,2.28,1.07,1.20,2.36,-0.08,-0.66,-0.83,0.17,1.12,-0.89,0.12,0.14,0.11,0.19,-0.01,0.05,0.05,0.07,0.09,-0.11,0.53,0.53,0.53,0.55,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,104.00,63.00,41.00,60.00,44.00,0.00,11/18/13,11/16/23
EXR,1.55,0.87,0.69,1.67,-0.11,0.03,-0.08,0.12,0.86,-0.75,0.11,0.11,0.11,0.19,-0.02,0.07,0.07,0.08,0.10,-0.13,0.53,0.51,0.56,0.56,0.46,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,96.00,59.00,37.00,55.00,41.00,0.00,11/18/13,11/16/23
RSG,0.74,0.17,0.56,0.81,-0.08,-0.96,-0.78,-0.18,0.42,-0.67,0.07,0.04,0.11,0.12,-0.02,0.02,-0.03,0.06,0.07,-0.17,0.54,0.51,0.58,0.56,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,103.00,67.00,37.00,63.00,40.00,0.00,11/18/13,11/16/23
CVS,1.46,0.78,0.68,1.10,0.36,1.08,0.58,0.50,0.77,0.02,0.10,0.10,0.11,0.14,0.05,0.09,0.09,0.10,0.10,0.01,0.54,0.54,0.54,0.56,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,108.00,62.00,46.00,58.00,50.00,0.00,11/18/13,11/16/23
BWA,2.05,1.09,0.96,0.99,1.06,1.78,1.06,0.72,0.96,1.18,0.10,0.09,0.11,0.10,0.09,0.09,0.09,0.10,0.10,0.10,0.50,0.48,0.54,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,111.00,72.00,39.00,56.00,55.00,0.00,11/18/13,11/16/23
AON,1.01,0.31,0.70,0.90,0.11,-0.66,-0.69,0.03,0.66,-0.43,0.08,0.05,0.11,0.13,0.02,0.03,0.00,0.07,0.10,-0.08,0.52,0.52,0.53,0.56,0.43,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,101.00,64.00,38.00,57.00,44.00,0.00,11/18/13,11/16/23
TAP,1.21,0.45,0.76,1.01,0.20,0.70,0.33,0.37,0.81,-0.33,0.08,0.06,0.11,0.13,0.03,0.07,0.06,0.09,0.11,-0.04,0.51,0.49,0.54,0.53,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,98.00,60.00,38.00,48.00,50.00,0.00,11/18/13,11/16/23
UAL,2.68,1.14,1.53,1.67,1.01,1.40,-0.09,1.49,1.07,0.92,0.10,0.09,0.11,0.12,0.07,0.08,0.05,0.11,0.08,0.07,0.51,0.50,0.51,0.51,0.50,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,94.00,53.00,41.00,47.00,47.00,0.00,11/18/13,11/16/23
PYPL,1.38,0.18,1.21,1.17,0.22,0.35,-1.05,1.40,0.77,-0.52,0.08,0.03,0.11,0.13,0.02,0.06,-0.03,0.11,0.09,-0.05,0.52,0.49,0.55,0.54,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,80.00,42.00,39.00,40.00,40.00,0.00,07/06/15,11/16/23
CARR,0.93,0.00,0.93,0.96,-0.03,-0.84,0.00,-0.84,0.43,-0.38,0.11,0.00,0.11,0.17,-0.01,0.03,0.00,0.03,0.08,-0.12,0.54,0.00,0.54,0.58,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,37.00,0.00,37.00,19.00,18.00,0.00,03/19/20,11/16/23
NEE,1.23,0.38,0.85,1.00,0.24,-0.01,-0.65,0.64,0.67,-0.07,0.08,0.07,0.11,0.13,0.04,0.05,0.01,0.09,0.09,-0.01,0.52,0.53,0.52,0.56,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,104.00,62.00,42.00,57.00,47.00,0.00,11/18/13,11/16/23
ED,1.14,0.58,0.56,0.72,0.42,0.41,0.14,0.27,0.58,0.40,0.10,0.10,0.11,0.11,0.10,0.08,0.08,0.09,0.09,0.09,0.53,0.54,0.53,0.55,0.50,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,97.00,57.00,40.00,59.00,38.00,0.00,11/18/13,11/15/23
BK,2.07,1.21,0.86,1.04,1.03,1.35,0.76,0.59,0.72,1.05,0.12,0.14,0.11,0.12,0.13,0.11,0.12,0.09,0.09,0.13,0.54,0.53,0.55,0.55,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,97.00,59.00,38.00,50.00,47.00,0.00,11/18/13,11/16/23
DOW,1.30,0.26,1.04,0.43,0.87,0.94,0.34,0.61,0.36,1.17,0.11,0.15,0.11,0.09,0.13,0.10,0.17,0.09,0.08,0.17,0.48,0.51,0.48,0.49,0.48,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,42.00,8.00,35.00,25.00,17.00,0.00,03/20/19,11/16/23
IQV,1.44,0.44,1.00,1.15,0.29,-0.50,-0.98,0.48,0.79,-0.07,0.08,0.06,0.11,0.12,0.04,0.04,-0.01,0.08,0.09,-0.01,0.49,0.47,0.52,0.50,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,102.00,62.00,41.00,62.00,40.00,0.00,11/18/13,11/16/23
GEN,1.07,0.38,0.69,0.76,0.31,0.36,0.28,0.08,1.34,-0.15,0.07,0.04,0.11,0.10,0.04,0.05,0.04,0.08,0.15,-0.01,0.51,0.49,0.55,0.52,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.02,107.00,68.00,39.00,56.00,51.00,0.00,11/18/13,11/16/23
EW,2.42,1.72,0.69,2.32,0.09,0.08,-0.51,0.59,1.28,-0.61,0.13,0.14,0.11,0.20,0.01,0.08,0.06,0.10,0.11,-0.08,0.54,0.55,0.52,0.57,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,89.00,59.00,31.00,52.00,37.00,0.00,11/18/13,11/16/23
FSLR,3.49,2.06,1.43,2.13,1.37,1.49,1.63,-0.14,1.68,1.41,0.11,0.12,0.10,0.13,0.10,0.09,0.11,0.06,0.10,0.10,0.51,0.51,0.52,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,101.00,60.00,41.00,52.00,49.00,0.00,11/18/13,11/16/23
AMGN,1.56,1.04,0.53,1.34,0.23,0.39,0.22,0.17,0.80,-0.25,0.11,0.11,0.10,0.16,0.04,0.08,0.08,0.08,0.10,-0.03,0.51,0.49,0.53,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,97.00,64.00,33.00,55.00,42.00,0.00,11/18/13,11/16/23
PANW,2.59,1.51,1.09,2.22,0.37,-0.98,-0.53,-0.45,1.13,-0.07,0.12,0.14,0.10,0.18,0.04,0.06,0.08,0.04,0.10,0.00,0.54,0.53,0.54,0.56,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.03,87.00,52.00,35.00,51.00,36.00,0.00,11/18/13,11/15/23
NRG,2.03,0.96,1.06,0.90,1.12,0.72,0.28,0.45,0.84,0.73,0.09,0.08,0.10,0.10,0.09,0.07,0.06,0.08,0.09,0.06,0.50,0.50,0.50,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,102.00,57.00,45.00,52.00,50.00,0.00,11/18/13,11/16/23
WFC,1.56,0.86,0.70,0.72,0.84,1.09,0.59,0.50,0.60,0.63,0.10,0.11,0.10,0.10,0.11,0.09,0.10,0.10,0.08,0.08,0.51,0.51,0.51,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.01,0.02,104.00,69.00,35.00,49.00,55.00,0.00,11/18/13,11/16/23
AAL,2.77,1.26,1.51,1.27,1.50,2.20,0.69,1.51,1.19,1.51,0.10,0.10,0.10,0.11,0.09,0.09,0.08,0.10,0.10,0.09,0.52,0.50,0.55,0.51,0.52,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.03,98.00,59.00,39.00,48.00,50.00,0.00,11/18/13,11/16/23
