Asset,SumT:All,SumT:<=2019,SumT:>=2020,SumT:Longs,SumT:Shorts,SumT-P:All,SumT-P:<=2019,SumT-P:>=2020,SumT-P:Longs,SumT-P:Shorts,SharpeT:All,SharpeT:<=2019,SharpeT:>=2020,SharpeT:Longs,SharpeT:Shorts,SharpeT-P:All,SharpeT-P:<=2019,SharpeT-P:>=2020,SharpeT-P:Longs,SharpeT-P:Shorts,%Win:All,%Win:<=2019,%Win:>=2020,%Win:Longs,%Win:Shorts,Mean:All,Mean:<=2019,Mean:>=2020,Mean:Longs,Mean:Shorts,Std:All,Std:<=2019,Std:>=2020,Std:Longs,Std:Shorts,No:All,No:<=2019,No:>=2020,No:Longs,No:Shorts,Stops,Start,End
ABBV,1.73,0.57,1.16,1.29,0.44,0.26,-0.16,0.42,0.64,0.08,0.11,0.06,0.18,0.16,0.05,0.07,0.03,0.13,0.08,0.01,0.53,0.50,0.57,0.56,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.02,92.00,59.00,33.00,47.00,45.00,0.00,11/18/13,11/16/23
BLK,2.39,0.93,1.46,1.81,0.58,1.14,0.36,0.79,0.73,0.46,0.14,0.11,0.18,0.19,0.08,0.11,0.09,0.15,0.09,0.06,0.56,0.52,0.61,0.56,0.55,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,95.00,56.00,40.00,45.00,50.00,0.00,11/18/13,11/16/23
RCL,3.38,0.81,2.56,2.78,0.60,1.18,-0.58,1.75,1.51,0.17,0.12,0.06,0.18,0.15,0.05,0.09,0.02,0.16,0.08,0.02,0.52,0.50,0.55,0.53,0.50,0.00,0.00,0.01,0.00,0.00,0.03,0.02,0.04,0.03,0.03,103.00,73.00,31.00,60.00,43.00,0.00,11/18/13,11/16/23
ALB,3.43,1.01,2.42,1.96,1.48,2.00,0.68,1.33,1.52,1.57,0.13,0.08,0.18,0.15,0.11,0.11,0.07,0.15,0.12,0.12,0.52,0.50,0.55,0.54,0.49,0.00,0.00,0.01,0.00,0.00,0.02,0.02,0.03,0.02,0.03,109.00,70.00,40.00,57.00,52.00,0.00,11/18/13,11/16/23
ZBRA,2.75,1.47,1.28,1.92,0.83,0.54,-0.56,1.10,1.23,0.53,0.15,0.13,0.17,0.19,0.10,0.11,0.07,0.17,0.13,0.07,0.54,0.53,0.56,0.55,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,90.00,59.00,31.00,45.00,45.00,0.00,11/18/13,11/16/23
CPRT,2.11,0.84,1.27,2.22,-0.11,-0.74,-1.02,0.28,0.83,-0.57,0.13,0.10,0.17,0.19,-0.03,0.06,0.01,0.13,0.07,-0.13,0.55,0.52,0.58,0.58,0.45,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,87.00,58.00,30.00,52.00,35.00,0.00,11/18/13,11/16/23
HAL,4.46,1.78,2.68,3.02,1.44,3.81,2.33,1.47,1.10,1.81,0.16,0.16,0.17,0.18,0.13,0.15,0.18,0.14,0.06,0.17,0.55,0.56,0.54,0.55,0.55,0.00,0.00,0.01,0.00,0.00,0.02,0.02,0.03,0.03,0.02,88.00,54.00,35.00,50.00,38.00,0.00,11/18/13,11/16/23
ETH-USD,8.07,3.49,4.59,5.12,2.95,3.63,3.34,0.29,1.51,4.12,0.21,0.31,0.17,0.25,0.16,0.17,0.30,0.10,0.08,0.22,0.54,0.59,0.52,0.54,0.53,0.01,0.02,0.01,0.01,0.01,0.05,0.05,0.04,0.04,0.05,70.00,17.00,53.00,38.00,32.00,0.00,11/09/17,11/15/23
COST,2.03,1.06,0.97,1.37,0.66,0.25,0.14,0.11,0.85,0.60,0.16,0.15,0.17,0.19,0.12,0.10,0.11,0.11,0.13,0.11,0.55,0.54,0.56,0.56,0.52,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,98.00,62.00,37.00,60.00,38.00,0.00,11/18/13,11/16/23
WST,2.85,1.52,1.32,2.11,0.74,0.47,0.23,0.25,0.82,0.64,0.16,0.16,0.17,0.21,0.09,0.10,0.10,0.12,0.08,0.08,0.56,0.55,0.57,0.59,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,82.00,56.00,27.00,40.00,42.00,0.00,11/18/13,11/16/23
KHC,1.43,0.59,0.83,0.53,0.90,1.79,1.34,0.46,0.44,1.07,0.13,0.09,0.17,0.12,0.13,0.14,0.13,0.15,0.10,0.15,0.51,0.49,0.54,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,62.00,36.00,26.00,29.00,33.00,0.00,07/06/15,11/16/23
SPGI,2.04,1.00,1.04,1.40,0.64,-0.02,-0.44,0.41,0.78,0.62,0.16,0.16,0.17,0.19,0.12,0.11,0.09,0.13,0.11,0.12,0.56,0.55,0.58,0.56,0.56,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,84.00,54.00,30.00,48.00,36.00,0.00,11/18/13,11/16/23
BR,2.00,1.15,0.85,1.93,0.07,0.12,-0.14,0.25,0.77,-0.25,0.16,0.16,0.16,0.21,0.02,0.11,0.09,0.13,0.09,-0.06,0.54,0.53,0.55,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,92.00,55.00,38.00,57.00,35.00,0.00,11/18/13,11/16/23
LLY,1.93,0.77,1.16,1.59,0.34,-0.89,-0.28,-0.61,0.66,-0.06,0.13,0.10,0.16,0.18,0.06,0.07,0.06,0.08,0.08,0.00,0.53,0.53,0.54,0.56,0.49,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,92.00,56.00,37.00,51.00,41.00,0.00,11/18/13,11/16/23
DG,2.10,0.93,1.17,1.43,0.68,1.03,-0.19,1.22,0.82,0.69,0.13,0.10,0.16,0.17,0.09,0.10,0.06,0.16,0.10,0.09,0.52,0.52,0.53,0.53,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,86.00,55.00,32.00,45.00,41.00,0.00,11/18/13,11/16/23
VLO,2.83,0.85,1.98,1.91,0.92,0.94,-0.07,1.01,0.76,0.70,0.11,0.07,0.16,0.14,0.08,0.08,0.04,0.13,0.06,0.06,0.53,0.53,0.53,0.56,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,96.00,63.00,33.00,53.00,43.00,0.00,11/18/13,11/16/23
PWR,2.69,1.15,1.54,1.55,1.14,0.34,0.59,-0.26,1.13,1.27,0.14,0.11,0.16,0.14,0.13,0.09,0.09,0.08,0.11,0.14,0.52,0.51,0.53,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,103.00,62.00,41.00,60.00,43.00,0.00,11/18/13,11/16/23
ALGN,4.47,2.16,2.31,3.00,1.47,2.11,0.13,1.98,1.51,1.92,0.15,0.16,0.16,0.17,0.12,0.12,0.10,0.15,0.08,0.15,0.56,0.55,0.57,0.56,0.56,0.00,0.00,0.01,0.01,0.00,0.03,0.02,0.04,0.03,0.03,87.00,55.00,32.00,49.00,38.00,0.00,11/18/13,11/15/23
ETN,1.75,0.63,1.12,1.46,0.29,0.20,0.26,-0.07,0.68,-0.42,0.11,0.08,0.16,0.17,0.04,0.08,0.06,0.10,0.08,-0.04,0.52,0.51,0.55,0.56,0.46,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,104.00,63.00,41.00,57.00,47.00,0.00,11/18/13,11/16/23
CMG,3.13,1.78,1.35,1.61,1.53,1.16,1.04,0.12,1.16,2.02,0.15,0.14,0.15,0.15,0.14,0.11,0.12,0.10,0.11,0.19,0.55,0.55,0.57,0.56,0.55,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,97.00,62.00,35.00,50.00,47.00,0.00,11/18/13,11/16/23
XYL,2.29,0.95,1.34,1.26,1.03,0.84,0.01,0.83,0.95,1.16,0.14,0.12,0.15,0.15,0.13,0.10,0.08,0.13,0.11,0.15,0.53,0.51,0.56,0.53,0.54,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,99.00,57.00,43.00,56.00,43.00,0.00,11/18/13,11/16/23
DPZ,2.12,0.68,1.44,1.66,0.46,0.00,-0.93,0.93,1.17,0.15,0.11,0.07,0.15,0.14,0.06,0.06,0.01,0.13,0.09,0.02,0.53,0.51,0.56,0.57,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,98.00,66.00,32.00,53.00,45.00,0.00,11/18/13,11/16/23
EPAM,2.58,0.85,1.73,2.40,0.18,-0.43,-1.27,0.84,1.19,-0.92,0.12,0.08,0.15,0.18,0.02,0.07,0.02,0.13,0.10,-0.09,0.54,0.54,0.55,0.57,0.47,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,93.00,58.00,35.00,55.00,38.00,0.00,11/18/13,11/16/23
BA,2.88,1.27,1.60,2.26,0.61,1.70,0.24,1.46,0.79,0.45,0.14,0.14,0.15,0.17,0.08,0.12,0.09,0.15,0.06,0.06,0.52,0.52,0.52,0.52,0.51,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,94.00,56.00,39.00,49.00,45.00,0.00,11/18/13,11/16/23
MPC,3.32,1.13,2.18,1.76,1.56,1.13,0.48,0.65,0.98,2.23,0.12,0.09,0.15,0.16,0.10,0.09,0.07,0.10,0.09,0.14,0.54,0.52,0.56,0.57,0.50,0.00,0.00,0.01,0.00,0.00,0.03,0.02,0.03,0.02,0.03,93.00,59.00,34.00,52.00,41.00,0.00,11/18/13,11/16/23
BKR,3.07,1.24,1.83,1.49,1.58,2.71,1.70,1.01,0.83,2.09,0.13,0.11,0.15,0.14,0.13,0.13,0.13,0.12,0.08,0.16,0.51,0.51,0.52,0.50,0.53,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,87.00,52.00,36.00,38.00,49.00,0.00,11/18/13,11/16/23
ENPH,8.06,5.32,2.73,6.15,1.90,2.33,2.01,0.33,2.75,2.17,0.15,0.16,0.15,0.20,0.09,0.11,0.12,0.10,0.09,0.10,0.52,0.51,0.55,0.54,0.50,0.01,0.01,0.01,0.01,0.00,0.05,0.05,0.05,0.05,0.05,84.00,55.00,29.00,49.00,35.00,0.00,11/18/13,11/16/23
BRO,0.81,0.16,0.64,0.79,0.02,-0.96,-0.80,-0.17,0.66,-0.51,0.08,0.03,0.15,0.13,0.00,0.03,-0.03,0.10,0.11,-0.11,0.49,0.47,0.55,0.52,0.43,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,96.00,60.00,36.00,57.00,39.00,0.00,11/18/13,11/16/23
EFX,1.82,0.64,1.18,1.23,0.59,0.32,-0.24,0.56,0.79,0.51,0.11,0.08,0.14,0.15,0.07,0.07,0.04,0.12,0.10,0.06,0.52,0.51,0.54,0.55,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,103.00,64.00,40.00,56.00,47.00,0.00,11/18/13,11/16/23
IR,1.96,0.53,1.43,1.16,0.80,0.35,-0.17,0.53,0.55,0.97,0.12,0.09,0.14,0.16,0.10,0.08,0.04,0.10,0.08,0.11,0.53,0.51,0.55,0.54,0.52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.03,67.00,27.00,41.00,36.00,31.00,0.00,05/12/17,11/16/23
RVTY,1.51,0.36,1.15,0.72,0.79,0.30,-0.71,1.01,0.63,0.93,0.09,0.05,0.14,0.11,0.08,0.06,0.00,0.14,0.09,0.10,0.50,0.47,0.56,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.02,98.00,65.00,33.00,52.00,46.00,0.00,11/18/13,11/16/23
SEDG,3.65,1.48,2.17,2.75,0.91,0.52,-0.88,1.39,1.89,0.33,0.11,0.09,0.14,0.15,0.07,0.08,0.03,0.13,0.11,0.03,0.52,0.52,0.53,0.52,0.53,0.00,0.00,0.01,0.01,0.00,0.04,0.03,0.04,0.03,0.04,84.00,51.00,34.00,43.00,41.00,0.00,03/26/15,11/16/23
