Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,Date,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis
2016-03-01,25.15,25.99,24.71,25.85,1653298.0,0.0,1.0,25.15,25.99,24.71,25.85,1653298.0,1.2799999999999976,1.1699999999999982,0.10999999999999943,1.2799999999999976,1.6185000000000005,1.6072750000000002,0.0,1.0,0.0,0.0,,,2016-03-01,,,,,,,,,,,,,,,,
2016-03-02,25.63,26.23,25.28,26.22,1664998.0,0.0,1.0,25.63,26.23,25.28,26.22,1664998.0,0.9499999999999993,0.379999999999999,0.5700000000000003,0.9499999999999993,1.5965000000000003,1.5850750000000005,0.0,1.0,0.0,0.0,,,2016-03-02,,,,,,,,,,,,,,,,
2016-03-03,26.1,28.432,26.1,28.09,3106245.0,0.0,1.0,26.1,28.432,26.1,28.09,3106245.0,2.331999999999997,2.2119999999999997,0.11999999999999744,2.331999999999997,1.6041,1.633275,1.0,1.0,0.0,1.0,,,2016-03-03,,,,,,,,,,,,,,,,
2016-03-04,28.09,28.79,26.79,27.06,2803520.0,0.0,1.0,28.09,28.79,26.79,27.06,2803520.0,2.0,0.6999999999999993,1.3000000000000007,2.0,1.6265999999999998,1.6238950000000003,0.0,0.0,0.0,0.0,0.0,1.0,2016-03-04,28.09,27.06,28.09,27.06,26.456725,1.0,1.633275,1.0,61.2266764629349,-2.2450507923397276,0.612266764629349,58.369358905965825,-0.036667853328586686,6.122292798653095e-05,1.0,1.0
2016-03-07,26.6,27.3,25.94,26.73,2083314.0,0.0,1.0,26.6,27.3,25.94,26.73,2083314.0,1.3599999999999994,0.240000000000002,1.1199999999999974,1.3599999999999994,1.6381000000000001,1.61327,0.0,0.0,0.0,0.0,0.0,1.0,2016-03-07,27.06,26.73,27.06,26.73,25.436104999999998,1.0,1.6238950000000003,1.0,58.369358905965825,-0.7118214500727481,0.0,57.65753745589308,-0.012195121951219412,5.8365952122758485e-05,1.0,1.0
2016-03-08,26.52,26.86,25.73,25.83,1739117.0,0.0,1.0,26.52,26.86,25.73,25.83,1739117.0,1.129999999999999,0.129999999999999,1.0,1.129999999999999,1.5730999999999997,1.612695,0.0,0.0,0.0,0.0,0.0,1.0,2016-03-08,26.73,25.83,26.73,25.83,25.11673,1.0,1.61327,1.0,57.65753745589308,-1.9413312274711514,0.0,55.716206228421925,-0.03367003367003374,5.7654213255932784e-05,1.0,1.0
2016-03-09,25.91,26.51,25.15,26.11,1585475.0,0.0,1.0,25.91,26.51,25.15,26.11,1585475.0,1.360000000000003,0.6800000000000033,0.6799999999999997,1.360000000000003,1.5806000000000002,1.5624449999999999,0.0,0.0,0.0,0.0,0.0,1.0,2016-03-09,25.83,26.11,25.83,26.11,24.217305,1.0,1.612695,1.0,55.716206228421925,0.603969715213249,0.0,56.32017594363517,0.01084010840108407,5.571310210573537e-05,1.0,1.0
2016-03-11,25.84,27.6626,25.84,27.6,2497226.0,0.0,1.0,25.84,27.6626,25.84,27.6,2497226.0,1.8226000000000013,1.5526000000000018,0.2699999999999996,1.8226000000000013,1.59773,1.5927000000000002,0.0,0.0,0.0,0.0,0.0,1.0,2016-03-11,26.11,27.6,26.11,27.6,24.547555,1.0,1.5624449999999999,1.0,56.32017594363517,3.2139816988133494,0.0,59.53415764244852,0.0570662581386443,5.6317004160052256e-05,1.0,1.0
2016-03-14,27.49,27.76,27.0,27.3,1498957.0,0.0,1.0,27.49,27.76,27.0,27.3,1498957.0,0.7600000000000016,0.16000000000000014,0.6000000000000014,0.7600000000000016,1.5567300000000002,1.5558435000000002,0.0,0.0,0.0,0.0,0.0,1.0,2016-03-14,27.6,27.3,27.6,27.3,26.0073,1.0,1.5927000000000002,1.0,59.53415764244852,-0.647110409157052,0.0,58.88704723329147,-0.010869565217391353,5.9530613537517626e-05,1.0,1.0
2016-03-15,26.91,26.95,25.12,25.37,1806269.0,0.0,1.0,26.91,26.95,25.12,25.37,1806269.0,1.8299999999999983,0.3500000000000014,2.1799999999999997,2.1799999999999997,1.6082299999999996,1.5878935000000003,0.0,-1.0,0.0,0.0,0.0,1.0,2016-03-15,27.3,25.37,27.3,25.7441565,25.7441565,1.0,1.5558435000000002,1.0,58.88704723329147,-3.356008412897787,0.612266764629349,54.918772055764336,-0.056990604395604445,5.888357975314928e-05,1.0,1.0
2016-03-16,25.12,26.48,25.12,26.32,1912164.0,0.0,1.0,25.12,26.48,25.12,26.32,1912164.0,1.3599999999999994,1.1099999999999994,0.25,1.3599999999999994,1.5457299999999996,1.5958184999999996,0.0,0.0,0.0,0.0,,,2016-03-16,,,,,,,,,,,,,,,,
2016-03-17,26.23,27.09,25.92,26.57,2487995.0,0.0,1.0,26.23,27.09,25.92,26.57,2487995.0,1.1699999999999982,0.7699999999999996,0.3999999999999986,1.1699999999999982,1.4987299999999997,1.5269434999999996,0.0,0.0,0.0,0.0,,,2016-03-17,,,,,,,,,,,,,,,,
2016-03-18,26.64,28.5,26.64,28.14,3781347.0,0.0,1.0,26.64,28.5,26.64,28.14,3781347.0,1.8599999999999994,1.9299999999999997,0.07000000000000028,1.9299999999999997,1.5482299999999996,1.5202934999999997,1.0,1.0,0.0,1.0,,,2016-03-18,,,,,,,,,,,,,,,,
2016-03-21,28.15,29.07,27.58,28.42,1446472.0,0.0,1.0,28.15,29.07,27.58,28.42,1446472.0,1.490000000000002,0.9299999999999997,0.5600000000000023,1.490000000000002,1.5437299999999996,1.5453184999999996,1.0,1.0,0.0,1.0,1.0,1.0,2016-03-21,28.14,28.42,28.14,28.42,26.6197065,1.0,1.5202934999999997,1.0,65.7767727086908,0.6544952508327413,0.657767727086908,65.77350023243663,0.00995024875621886,6.577244640943282e-05,1.0,1.0
