Date,Date,Symbol,Date_x,Open,High,Low,Close,Volume,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,Date_y,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis,S1orS2
2015-10-30,2015-10-30,MMM, 10/30/2015,156.76,158.67,156.76,157.21,-1,1.9099999999999966,0.0,0.0,1.9099999999999966,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-02,2015-11-02,MMM, 11/02/2015,157.28,160.09,157.28,159.92,-1,2.8100000000000023,2.8799999999999955,0.06999999999999318,2.8799999999999955,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-03,2015-11-03,MMM, 11/03/2015,158.97,159.78,158.65,158.78,-1,1.1299999999999955,0.13999999999998636,1.2699999999999818,1.2699999999999818,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-04,2015-11-04,MMM, 11/04/2015,158.51,159.47,158.51,158.94,-1,0.960000000000008,0.6899999999999977,0.27000000000001023,0.960000000000008,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-05,2015-11-05,MMM, 11/05/2015,157.94,159.52,157.94,158.99,-1,1.5800000000000125,0.5800000000000125,1.0,1.5800000000000125,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-06,2015-11-06,MMM, 11/06/2015,158.26,159.25,157.7,159.22,-1,1.5500000000000114,0.2599999999999909,1.2900000000000205,1.5500000000000114,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-09,2015-11-09,MMM, 11/09/2015,157.83,158.59,156.75,157.51,-1,1.8400000000000034,0.6299999999999955,2.469999999999999,2.469999999999999,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-10,2015-11-10,MMM, 11/10/2015,156.33,157.63,156.33,157.59,-1,1.299999999999983,0.12000000000000455,1.1799999999999784,1.299999999999983,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-11,2015-11-11,MMM, 11/11/2015,156.52,159.48,156.52,159.05,-1,2.9599999999999795,1.8899999999999864,1.0699999999999932,2.9599999999999795,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-12,2015-11-12,MMM, 11/12/2015,157.52,158.27,156.14,156.28,-1,2.130000000000024,0.7800000000000011,2.910000000000025,2.910000000000025,,0.0,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-13,2015-11-13,MMM, 11/13/2015,155.62,156.9,155.6,155.66,-1,1.3000000000000114,0.6200000000000045,0.6800000000000068,1.3000000000000114,,0.0,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-16,2015-11-16,MMM, 11/16/2015,155.21,158.25,155.21,158.15,-1,3.039999999999992,2.5900000000000034,0.44999999999998863,3.039999999999992,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-17,2015-11-17,MMM, 11/17/2015,158.29,158.47,156.51,156.99,-1,1.960000000000008,0.3199999999999932,1.6400000000000148,1.960000000000008,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-18,2015-11-18,MMM, 11/18/2015,156.01,157.5,156.01,157.37,-1,1.490000000000009,0.5099999999999909,0.9800000000000182,1.490000000000009,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-11-19,2015-11-19,MMM, 11/19/2015,156.32,158.51,156.32,158.39,-1,2.1899999999999977,1.1399999999999864,1.0500000000000114,2.1899999999999977,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
