Date,Open,High,Low,Close,Adj Close,Volume,Year,Series,Ticker
2013-11-18,70.47000122070312,71.66999816894531,70.4000015258789,70.98999786376953,55.19379425048828,2476600,2013,-0.21677602817646757,STT
2013-11-19,70.9800033569336,71.4000015258789,70.69999694824219,70.9000015258789,55.12383270263672,2084300,2013,-0.001267561848240617,STT
2013-11-20,71.27999877929688,71.7300033569336,70.94000244140625,71.08000183105469,55.26378631591797,2451700,2013,0.0025388948195279593,STT
2013-11-21,71.44000244140625,72.16000366210938,71.36000061035156,72.05000305175781,56.017940521240234,1755600,2013,0.013646444726228335,STT
2013-11-22,72.26000213623047,72.9000015258789,71.87999725341797,72.69999694824219,56.523311614990234,1863000,2013,0.009021593601042488,STT
2013-11-25,72.69999694824219,72.83999633789062,72.0199966430664,72.11000061035156,56.06459045410156,1590300,2013,-0.00811561013999429,STT
2013-11-26,72.12999725341797,73.2699966430664,72.01000213623047,72.55000305175781,56.40669631958008,2450700,2013,0.0061019952648826425,STT
2013-11-27,72.37999725341797,72.7300033569336,71.9800033569336,72.33999633789062,56.2434196472168,1668400,2013,-0.0028946327832818364,STT
2013-11-29,72.20999908447266,73.05000305175781,71.88999938964844,72.61000061035156,56.453330993652344,1357700,2013,0.003732193877118428,STT
2013-12-02,72.80999755859375,73.62999725341797,72.55000305175781,72.88999938964844,56.6710319519043,1927300,2013,0.0038562996092548207,STT
2013-12-03,72.48999786376953,72.72000122070312,71.22000122070312,71.5,55.59032440185547,1910900,2013,-0.019069840672144567,STT
2013-12-04,71.05000305175781,72.08000183105469,70.19999694824219,70.83000183105469,55.06942367553711,2975100,2013,-0.00937034874185716,STT
2013-12-05,70.58000183105469,70.83999633789062,69.94999694824219,70.16000366210938,54.54850387573242,2458800,2013,-0.009459329062056043,STT
2013-12-06,71.23999786376953,71.44000244140625,70.62999725341797,71.2300033569336,55.38041687011719,1850400,2013,0.015250885638952827,STT
2013-12-09,71.66000366210938,72.2699966430664,71.52999877929688,71.81999969482422,55.839134216308594,1874300,2013,0.008283024435645325,STT
2013-12-10,71.55000305175781,72.01000213623047,71.26000213623047,71.3499984741211,55.47370910644531,1725200,2013,-0.006544247417012317,STT
2013-12-11,71.4800033569336,71.5999984741211,70.23999786376953,70.37000274658203,54.71177291870117,2164500,2013,-0.013735086404301988,STT
