Date,Open,High,Low,Close,Volume,Adj Close,Year,Series,Ticker
2012-12-10,37.0,37.0,34.91,35.0,6992,35.0,2012,-0.05405405405405406,ABBV
2012-12-11,35.05,35.69,34.95,35.32,14529,35.32,2012,0.00914285714285712,ABBV
2012-12-12,35.25,35.25,33.09,33.36,24139,33.36,2012,-0.05549263873159682,ABBV
2012-12-13,33.5,34.24,32.61,33.8,42467,33.8,2012,0.01318944844124692,ABBV
2012-12-14,33.9,34.08,32.65,33.0,44572,33.0,2012,-0.023668639053254337,ABBV
2012-12-17,33.5,37.07,32.51,33.4,55029,33.4,2012,0.012121212121211977,ABBV
2012-12-18,33.4,34.68,32.95,34.43,33305,34.43,2012,0.030838323353293395,ABBV
2012-12-19,34.8,34.82,33.73,34.25,14778,34.25,2012,-0.005227998838222447,ABBV
2012-12-20,34.5,34.5,33.85,34.32,9908,34.32,2012,0.0020437956204379937,ABBV
2012-12-21,34.29,35.35,34.2,35.35,13734,35.35,2012,0.030011655011655147,ABBV
2012-12-24,35.6,35.6,34.6,35.25,2854,35.25,2012,-0.0028288543140028155,ABBV
2012-12-26,35.27,35.51,34.85,34.92,5576,34.92,2012,-0.009361702127659521,ABBV
2012-12-27,35.37,35.37,33.2,34.97,9122,34.97,2012,0.001431844215349365,ABBV
2012-12-28,34.67,34.96,34.36,34.52,10651,34.52,2012,-0.012868172719473714,ABBV
2012-12-31,34.04,35.05,34.0,34.16,16541,34.16,2012,-0.010428736964078977,ABBV
2013-01-02,34.92,35.4,34.1,35.12,124037,35.12,2013,0.02810304449648715,ABBV
2013-01-03,35.0,35.0,34.16,34.83,153953,34.83,2013,-0.008257403189065982,ABBV
2013-01-04,34.35,34.89,34.25,34.39,203886,34.39,2013,-0.012632787826586167,ABBV
2013-01-07,34.15,35.45,34.15,34.46,164082,34.46,2013,0.00203547542890381,ABBV
2013-01-08,34.29,34.64,33.36,33.71,166892,33.71,2013,-0.021764364480557186,ABBV
2013-01-09,33.61,33.95,33.61,33.9,181348,33.9,2013,0.005636309700385533,ABBV
2013-01-10,33.35,34.0,33.33,34.0,147391,34.0,2013,0.002949852507374784,ABBV
2013-01-11,33.59,33.9,33.35,33.85,103889,33.85,2013,-0.004411764705882337,ABBV
2013-01-14,34.01,34.25,33.8,34.09,107978,34.09,2013,0.007090103397341174,ABBV
2013-01-15,33.71,34.72,33.71,34.6,125902,34.6,2013,0.01496039894397172,ABBV
2013-01-16,34.47,35.54,34.45,35.54,155399,35.54,2013,0.027167630057803427,ABBV
2013-01-17,35.75,36.7,35.75,36.42,125546,36.42,2013,0.024760832864378246,ABBV
2013-01-18,36.43,37.32,36.04,37.32,106877,37.32,2013,0.02471169686985175,ABBV
2013-01-22,37.1,37.25,35.93,36.42,138835,36.42,2013,-0.024115755627009627,ABBV
2013-01-23,36.91,37.84,36.5,37.8,86122,37.8,2013,0.03789126853377245,ABBV
2013-01-24,37.79,38.52,37.23,37.46,100390,37.46,2013,-0.008994708994708889,ABBV
2013-01-25,37.52,37.84,36.64,37.6,81511,37.6,2013,0.0037373198077950143,ABBV
2013-01-28,37.95,37.95,36.71,36.89,56844,36.89,2013,-0.018882978723404276,ABBV
2013-01-29,36.69,37.46,36.25,37.31,76292,37.31,2013,0.011385199240986799,ABBV
2013-01-30,36.81,37.52,36.81,36.93,100154,36.93,2013,-0.01018493701420542,ABBV
2013-01-31,36.91,36.93,36.27,36.69,92343,36.69,2013,-0.006498781478472826,ABBV
2013-02-01,36.84,37.2,36.52,37.18,87584,37.18,2013,0.013355137639683878,ABBV
2013-02-04,36.64,37.3,36.55,37.28,56007,37.28,2013,0.002689618074233513,ABBV
2013-02-05,37.43,37.73,37.18,37.2,60984,37.2,2013,-0.0021459227467810482,ABBV
2013-02-06,36.96,37.28,36.86,37.14,51282,37.14,2013,-0.001612903225806539,ABBV
2013-02-07,37.57,37.57,35.8,36.42,93238,36.42,2013,-0.01938610662358642,ABBV
2013-02-08,36.37,36.42,35.83,36.25,130486,36.25,2013,-0.004667764964305321,ABBV
2013-02-11,36.13,36.18,35.75,35.85,57255,35.85,2013,-0.011034482758620623,ABBV
2013-02-12,35.77,35.9,35.2,35.42,70616,35.42,2013,-0.011994421199442162,ABBV
2013-02-13,35.42,35.57,35.15,35.27,45225,35.27,2013,-0.0042348955392432774,ABBV
2013-02-14,35.05,36.73,35.01,36.57,54000,36.57,2013,0.036858519988658855,ABBV
2013-02-15,37.28,37.81,36.93,37.58,120417,37.58,2013,0.027618266338528707,ABBV
2013-02-19,37.54,38.33,37.11,38.19,72121,38.19,2013,0.01623203831825437,ABBV
2013-02-20,38.16,39.13,37.61,38.61,73371,38.61,2013,0.010997643362136822,ABBV
2013-02-21,38.49,39.02,38.19,38.78,65662,38.78,2013,0.00440300440300434,ABBV
2013-02-22,38.79,38.85,38.14,38.46,35939,38.46,2013,-0.008251676121712181,ABBV
2013-02-25,38.54,38.61,37.37,37.37,39786,37.37,2013,-0.02834113364534585,ABBV
2013-02-26,37.6,37.6,36.96,37.09,38099,37.09,2013,-0.00749264115600734,ABBV
2013-02-27,36.97,36.98,36.4,36.73,97037,36.73,2013,-0.009706120248045513,ABBV
2013-02-28,36.66,37.14,36.5,36.92,64883,36.92,2013,0.005172883201742584,ABBV
2013-03-01,36.8,38.07,36.55,37.81,60489,37.81,2013,0.024106175514626127,ABBV
2013-03-04,37.53,38.25,37.53,38.24,48186,38.24,2013,0.01137265273737098,ABBV
