Symbol, Date, Open, High, Low, Close, Volume 
ISRG, 10/30/2015, 491.0, 502.6, 491.0, 496.34, -1 
ISRG, 11/02/2015, 496.6, 504.82, 496.6, 503.95, -1 
ISRG, 11/03/2015, 496.6, 506.52, 496.6, 503.14, -1 
ISRG, 11/04/2015, 499.6, 504.8, 499.6, 501.38, -1 
ISRG, 11/05/2015, 499.6, 502.71, 495.25, 499.12, -1 
ISRG, 11/06/2015, 447.18, 501.19, 447.18, 500.86, -1 
ISRG, 11/09/2015, 499.96, 500.33, 495.0, 497.67, -1 
ISRG, 11/10/2015, 431.05, 503.41, 431.05, 502.52, -1 
ISRG, 11/11/2015, 450.55, 504.01, 450.55, 498.45, -1 
ISRG, 11/12/2015, 444.19, 502.08, 444.19, 500.0, -1 
ISRG, 11/13/2015, 447.34, 503.99, 447.34, 498.79, -1 
ISRG, 11/16/2015, 446.13, 502.15, 446.13, 500.82, -1 
ISRG, 11/17/2015, 476.0, 504.26, 476.0, 498.51, -1 
ISRG, 11/18/2015, 470.84, 508.12, 470.84, 507.36, -1 
ISRG, 11/19/2015, 485.01, 505.72, 470.45, 504.17, -1 
ISRG, 11/20/2015, 498.0, 516.63, 498.0, 516.42, -1 
ISRG, 11/23/2015, 514.6, 521.6, 514.6, 519.09, -1 
ISRG, 11/24/2015, 516.7, 520.0, 512.33, 516.74, -1 
ISRG, 11/25/2015, 500.82, 519.7, 500.82, 517.87, -1 
ISRG, 11/27/2015, 499.99, 520.7, 499.99, 519.24, -1 
ISRG, 11/30/2015, 519.0, 522.37, 515.51, 520.03, -1 
ISRG, 12/01/2015, 519.26, 523.47, 516.03, 522.25, -1 
ISRG, 12/02/2015, 487.5, 523.67, 487.5, 517.59, -1 
ISRG, 12/03/2015, 479.5, 518.41, 479.5, 508.43, -1 
ISRG, 12/04/2015, 495.5, 523.43, 495.5, 521.31, -1 
ISRG, 12/07/2015, 520.0, 527.41, 518.38, 522.52, -1 
ISRG, 12/08/2015, 499.0, 518.92, 499.0, 512.93, -1 
ISRG, 12/09/2015, 500.02, 516.04, 500.02, 513.65, -1 
ISRG, 12/10/2015, 501.0, 529.15, 501.0, 526.04, -1 
ISRG, 12/11/2015, 499.99, 528.42, 499.99, 523.47, -1 
ISRG, 12/14/2015, 502.03, 532.4, 502.03, 528.75, -1 
ISRG, 12/15/2015, 509.45, 542.52, 509.45, 536.67, -1 
ISRG, 12/16/2015, 519.38, 546.65, 519.38, 545.13, -1 
ISRG, 12/17/2015, 535.0, 545.94, 535.0, 539.0, -1 
ISRG, 12/18/2015, 506.0, 540.71, 506.0, 534.18, -1 
ISRG, 12/21/2015, 516.5, 539.49, 516.5, 539.23, -1 
ISRG, 12/22/2015, 506.0, 543.91, 506.0, 541.22, -1 
ISRG, 12/23/2015, 495.5, 548.79, 495.5, 547.41, -1 
ISRG, 12/24/2015, 514.06, 548.3, 514.06, 547.11, -1 
ISRG, 12/28/2015, 545.6, 549.24, 541.79, 547.1, -1 
ISRG, 12/29/2015, 537.6, 556.46, 537.6, 553.32, -1 
ISRG, 12/30/2015, 532.5, 555.31, 532.5, 552.13, -1 
ISRG, 12/31/2015, 503.5, 552.88, 503.5, 546.16, -1 
ISRG, 01/04/2016, 545.0, 549.07, 538.1, 547.28, -1 
ISRG, 01/05/2016, 508.51, 553.9, 508.51, 551.89, -1 
ISRG, 01/06/2016, 511.5, 556.45, 511.5, 552.96, -1 
ISRG, 01/07/2016, 520.51, 556.14, 515.5, 536.9, -1 
ISRG, 01/08/2016, 523.0, 541.02, 523.0, 536.38, -1 
ISRG, 01/11/2016, 513.5, 545.0, 513.5, 539.26, -1 
ISRG, 01/12/2016, 524.0, 546.21, 524.0, 541.82, -1 
ISRG, 01/13/2016, 560.1, 572.0, 544.0, 545.14, -1 
ISRG, 01/14/2016, 546.0, 557.03, 538.0, 555.42, -1 
ISRG, 01/15/2016, 539.94, 557.75, 538.43, 557.35, -1 
ISRG, 01/19/2016, 551.1, 565.81, 551.1, 556.49, -1 
ISRG, 01/20/2016, 552.34, 560.02, 538.0, 554.38, -1 
ISRG, 01/21/2016, 556.5, 559.9, 541.0, 554.49, -1 
ISRG, 01/22/2016, 568.0, 578.94, 555.77, 565.88, -1 
ISRG, 01/25/2016, 539.5, 570.39, 539.5, 558.21, -1 
ISRG, 01/26/2016, 551.45, 553.23, 541.84, 545.17, -1 
ISRG, 01/27/2016, 523.01, 547.2, 523.01, 534.02, -1 
ISRG, 01/28/2016, 520.0, 536.4, 520.0, 526.46, -1 
ISRG, 01/29/2016, 520.0, 541.18, 520.0, 540.63, -1 
ISRG, 02/01/2016, 535.02, 546.1, 535.02, 543.09, -1 
ISRG, 02/02/2016, 543.0, 543.0, 533.41, 539.15, -1 
ISRG, 02/03/2016, 523.5, 545.09, 523.5, 545.0, -1 
ISRG, 02/04/2016, 535.14, 553.61, 535.14, 551.93, -1 
ISRG, 02/05/2016, 537.15, 554.14, 533.35, 536.24, -1 
ISRG, 02/08/2016, 514.0, 530.0, 501.71, 507.21, -1 
ISRG, 02/09/2016, 499.0, 520.16, 499.0, 508.73, -1 
ISRG, 02/10/2016, 499.0, 528.44, 499.0, 524.29, -1 
ISRG, 02/11/2016, 510.0, 524.75, 510.0, 521.34, -1 
ISRG, 02/12/2016, 500.04, 533.57, 500.04, 531.08, -1 
ISRG, 02/16/2016, 514.36, 535.88, 514.31, 534.95, -1 
ISRG, 02/17/2016, 499.0, 542.32, 499.0, 541.59, -1 
ISRG, 02/18/2016, 499.01, 544.56, 499.01, 542.39, -1 
ISRG, 02/19/2016, 499.0, 546.84, 499.0, 546.09, -1 
ISRG, 02/22/2016, 540.0, 551.69, 540.0, 551.26, -1 
ISRG, 02/23/2016, 540.0, 552.22, 540.0, 548.63, -1 
ISRG, 02/24/2016, 540.0, 554.35, 540.0, 553.78, -1 
ISRG, 02/25/2016, 541.2, 559.55, 541.2, 559.4, -1 
ISRG, 02/26/2016, 549.18, 570.0, 549.18, 567.46, -1 
ISRG, 02/29/2016, 549.19, 568.34, 549.19, 562.68, -1 
ISRG, 03/01/2016, 549.19, 574.17, 549.19, 571.02, -1 
ISRG, 03/02/2016, 549.19, 574.07, 549.19, 573.81, -1 
ISRG, 03/03/2016, 565.0, 575.76, 565.0, 573.99, -1 
ISRG, 03/04/2016, 549.2, 575.76, 549.2, 570.34, -1 
ISRG, 03/07/2016, 551.06, 575.75, 551.06, 572.5, -1 
ISRG, 03/08/2016, 550.0, 572.57, 550.0, 566.86, -1 
ISRG, 03/09/2016, 552.0, 573.03, 552.0, 572.65, -1 
ISRG, 03/10/2016, 549.19, 574.03, 549.19, 573.37, -1 
ISRG, 03/11/2016, 549.19, 583.5, 549.19, 580.29, -1 
ISRG, 03/14/2016, 570.0, 595.68, 570.0, 593.2, -1 
ISRG, 03/15/2016, 583.34, 593.99, 583.34, 587.08, -1 
ISRG, 03/16/2016, 580.0, 588.77, 580.0, 587.08, -1 
ISRG, 03/17/2016, 585.0, 589.01, 560.34, 562.22, -1 
ISRG, 03/18/2016, 549.19, 583.2, 549.19, 583.05, -1 
ISRG, 03/21/2016, 565.0, 589.0, 565.0, 582.99, -1 
ISRG, 03/22/2016, 578.0, 591.33, 576.74, 590.91, -1 
ISRG, 03/23/2016, 584.48, 595.63, 584.48, 586.33, -1 
ISRG, 03/24/2016, 578.63, 583.73, 575.0, 583.07, -1 
ISRG, 03/28/2016, 580.0, 586.27, 580.0, 584.17, -1 
ISRG, 03/29/2016, 573.01, 603.43, 573.01, 603.05, -1 
ISRG, 03/30/2016, 602.8, 606.0, 594.0, 597.92, -1 
ISRG, 03/31/2016, 578.25, 605.33, 578.25, 600.89, -1 
ISRG, 04/01/2016, 591.8, 606.49, 590.17, 606.49, -1 
ISRG, 04/04/2016, 586.39, 627.41, 586.39, 622.05, -1 
ISRG, 04/05/2016, 616.28, 619.25, 609.0, 612.59, -1 
ISRG, 04/06/2016, 609.35, 628.25, 606.1, 626.12, -1 
ISRG, 04/07/2016, 614.52, 624.8, 608.2, 614.46, -1 
ISRG, 04/08/2016, 616.72, 626.55, 615.17, 619.78, -1 
ISRG, 04/11/2016, 619.64, 626.09, 617.27, 620.35, -1 
ISRG, 04/12/2016, 601.5, 628.9, 601.5, 625.51, -1 
ISRG, 04/13/2016, 617.54, 629.45, 617.54, 627.01, -1 
ISRG, 04/14/2016, 624.52, 627.12, 621.98, 622.83, -1 
ISRG, 04/15/2016, 620.66, 627.75, 620.01, 624.21, -1 
ISRG, 04/18/2016, 620.0, 629.0, 620.0, 626.55, -1 
ISRG, 04/19/2016, 624.0, 627.69, 616.01, 624.57, -1 
ISRG, 04/20/2016, 641.94, 653.4, 641.0, 644.56, -1 
ISRG, 04/21/2016, 638.27, 647.49, 638.27, 641.56, -1 
ISRG, 04/22/2016, 620.2, 639.62, 619.5, 637.86, -1 
ISRG, 04/25/2016, 631.87, 641.86, 631.87, 638.74, -1 
ISRG, 04/26/2016, 636.72, 637.53, 630.0, 632.2, -1 
ISRG, 04/27/2016, 628.01, 635.46, 627.0, 633.0, -1 
ISRG, 04/28/2016, 627.0, 644.59, 627.0, 631.5, -1 
ISRG, 04/29/2016, 627.0, 628.0, 618.7, 626.01, -1 
ISRG, 05/02/2016, 619.2, 635.19, 619.2, 633.36, -1 
ISRG, 05/03/2016, 618.0, 627.89, 615.0, 618.63, -1 
ISRG, 05/04/2016, 613.48, 618.91, 611.12, 615.15, -1 
ISRG, 05/05/2016, 611.7, 619.16, 611.12, 615.32, -1 
ISRG, 05/06/2016, 609.03, 619.67, 609.03, 617.99, -1 
ISRG, 05/09/2016, 566.52, 628.29, 566.52, 623.86, -1 
ISRG, 05/10/2016, 623.05, 627.26, 619.67, 626.56, -1 
ISRG, 05/11/2016, 619.46, 629.14, 619.46, 627.65, -1 
ISRG, 05/12/2016, 621.72, 633.71, 621.35, 633.3, -1 
ISRG, 05/13/2016, 629.81, 636.91, 626.05, 628.42, -1 
ISRG, 05/16/2016, 621.78, 638.07, 621.78, 634.91, -1 
ISRG, 05/17/2016, 620.0, 635.53, 618.14, 621.0, -1 
ISRG, 05/18/2016, 600.0, 630.36, 600.0, 625.02, -1 
ISRG, 05/19/2016, 610.62, 625.27, 610.62, 623.79, -1 
ISRG, 05/20/2016, 614.6, 634.89, 614.6, 632.58, -1 
ISRG, 05/23/2016, 625.0, 631.51, 624.04, 628.23, -1 
